State,Total justice system (Thousands of dollars),Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Police protection Total,Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Judicial and Legal Total,Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Corrections Total,Direct expenditure Total,Direct current,Capital outlay Total,Construct. only,Intergovernmental expenditure,State
Total,66382940,61758342,59185593,2572749,4624598,10765559,9471421,8856212,615209,1294138,16303569,15323722,14778413,545309,979847,39313812,36963199,35550968,1412231,1039695,2350613,Total
Alabama,749047,719042,704322,14720,30005,130234,106294,97400,8894,23940,220870,220870,219925,945,0,397943,391878,386997,4881,2406,6065,Alabama
Alaska,364931,360634,353618,7016,4297,61681,57384,55414,1970,4297,126608,126608,122762,3846,0,176642,176642,175442,1200,560,0,Alaska
Arizona,1166176,1050944,1020112,30832,115232,188754,180767,162971,17796,7987,186937,151330,147962,3368,35607,790485,718847,709179,9668,2352,71638,Arizona
Arkansas,558095,557341,535443,21898,754,79800,79612,79048,564,188,126509,126397,126124,273,112,351786,351332,330271,21061,20084,454,Arkansas
California,10055795,9648779,9480658,168121,407016,1273619,1183104,1151566,31538,90515,2906459,2865860,2843673,22187,40599,5875717,5599815,5485419,114396,76982,275902,California
Colorado,1023146,903360,885874,17486,119786,111766,99142,95989,3153,12624,209670,209536,203206,6330,134,701710,594682,586679,8003,2145,107028,Colorado
Connecticut,1191776,1188727,1165777,22950,3049,170905,170905,163516,7389,0,462828,462828,450978,11850,0,558043,554994,551283,3711,2328,3049,Connecticut
Delaware,399062,391939,381363,10576,7123,78262,75960,73241,2719,2302,118018,113197,111539,1658,4821,202782,202782,196583,6199,25,0,Delaware
Florida,3455286,3449210,3367486,81724,6076,403244,402615,379890,22725,629,867003,861556,853765,7791,5447,2185039,2185039,2133831,51208,41483,0,Florida
Georgia,1746071,1663829,1625728,38101,82242,241000,222518,209214,13304,18482,201032,183907,183062,845,17125,1304039,1257404,1233452,23952,18749,46635,Georgia
Hawaii,360333,354148,327711,26437,6185,13779,10558,10215,343,3221,188525,185561,161663,23898,2964,158029,158029,155833,2196,1722,0,Hawaii
Idaho,270005,264187,250475,13712,5818,43206,39183,36607,2576,4023,55818,55818,54878,940,0,170981,169186,158990,10196,9034,1795,Idaho
Illinois,2002394,1878949,1804287,74662,123445,399085,364602,351453,13149,34483,318856,295337,292150,3187,23519,1284453,1219010,1160684,58326,42163,65443,Illinois
Indiana,1019455,983308,946222,37086,36147,226051,219314,205856,13458,6737,118210,118210,116921,1289,0,675194,645784,623445,22339,17752,29410,Indiana
Iowa,501456,482285,472857,9428,19171,71393,67366,64036,3330,4027,210204,199082,195122,3960,11122,219859,215837,213699,2138,1143,4022,Iowa
Kansas,556543,496835,471075,25760,59708,74193,70282,59495,10787,3911,165681,163370,160730,2640,2311,316669,263183,250850,12333,9558,53486,Kansas
Kentucky,945352,873598,799117,74481,71754,155292,131499,120968,10531,23793,337578,312885,304866,8019,24693,452482,429214,373283,55931,52699,23268,Kentucky
Louisiana,1034033,812566,776369,36197,221467,259125,193918,180053,13865,65207,166183,164695,160791,3904,1488,608725,453953,435525,18428,13680,154772,Louisiana
Maine,254917,250615,246958,3657,4302,61840,60486,58959,1527,1354,80994,78066,77102,964,2928,112083,112063,110897,1166,8,20,Maine
Maryland,1824441,1708798,1648902,59896,115643,418856,323734,313787,9947,95122,341462,340944,325769,15175,518,1064123,1044120,1009346,34774,30201,20003,Maryland
Massachusetts,2145963,1884400,1709133,175267,261563,407951,324243,296675,27568,83708,765736,764643,672663,91980,1093,972276,795514,739795,55719,49208,176762,Massachusetts
Michigan,2213113,2025216,1911504,113712,187897,295537,286350,275358,10992,9187,280271,162909,159549,3360,117362,1637305,1575957,1476597,99360,77970,61348,Michigan
Minnesota,926142,823437,779690,43747,102705,212528,186906,174768,12138,25622,302553,289841,285726,4115,12712,411061,346690,319196,27494,20681,64371,Minnesota
Mississippi,455913,431910,415819,16091,24003,75257,74388,67270,7118,869,74179,73332,72386,946,847,306477,284190,276163,8027,6508,22287,Mississippi
Missouri,964050,948152,907132,41020,15898,134869,134869,116912,17957,0,219881,203983,198676,5307,15898,609300,609300,591544,17756,7018,0,Missouri
Montana,215798,199987,193118,6869,15811,45940,30675,28737,1938,15265,48702,48156,47305,851,546,121156,121156,117076,4080,3399,0,Montana
Nebraska,310333,293616,282536,11080,16717,69651,54243,50688,3555,15408,52225,52101,51912,189,124,188457,187272,179936,7336,6684,1185,Nebraska
Nevada,357384,354833,339881,14952,2551,62023,61993,59137,2856,30,61245,60738,60036,702,507,234116,232102,220708,11394,9363,2014,Nevada
New Hampshire,229535,216785,206325,10460,12750,37454,36379,30578,5801,1075,97658,87248,83719,3529,10410,94423,93158,92028,1130,261,1265,New Hampshire
New Jersey,2511865,2386333,2309458,76875,125532,431279,406555,366702,39853,24724,705257,659830,646916,12914,45427,1375329,1319948,1295840,24108,15810,55381,New Jersey
New Mexico,558309,545007,528434,16573,13302,111883,98663,90248,8415,13220,191787,191705,184800,6905,82,254639,254639,253386,1253,27,0,New Mexico
New York,5483985,5071119,4584436,486683,412866,818700,650793,571824,78969,167907,2078468,1961721,1732624,229097,116747,2586817,2458605,2279988,178617,148782,128212,New York
North Carolina,1874956,1821173,1742681,78492,53783,378278,350927,324150,26777,27351,455569,431034,429169,1865,24535,1041109,1039212,989362,49850,32927,1897,North Carolina
North Dakota,103386,100497,98772,1725,2889,13866,13742,13553,189,124,44062,42671,42239,432,1391,45458,44084,42980,1104,929,1374,North Dakota
Ohio,2140040,1913803,1781108,132695,226237,254436,234362,200745,33617,20074,327483,276565,259663,16902,50918,1558121,1402876,1320700,82176,65362,155245,Ohio
Oklahoma,799462,762964,742529,20435,36498,102790,102788,93818,8970,2,195671,174203,171758,2445,21468,501001,485973,476953,9020,1902,15028,Oklahoma
Oregon,900906,749992,734347,15645,150914,196166,145424,137113,8311,50742,210588,210588,210039,549,0,494152,393980,387195,6785,5901,100172,Oregon
Pennsylvania,2690449,2499004,2343652,155352,191445,604141,597099,571838,25261,7042,597894,469133,468191,942,128761,1488414,1432772,1303623,129149,118897,55642,Pennsylvania
Rhode Island,318387,318022,309430,8592,365,49715,49350,48472,878,365,106438,106438,101212,5226,0,162234,162234,159746,2488,1397,0,Rhode Island
South Carolina,677199,644848,619768,25080,32351,182727,166154,157934,8220,16573,74714,63144,60967,2177,11570,419758,415550,400867,14683,14051,4208,South Carolina
South Dakota,123144,111362,105349,6013,11782,24407,23838,20433,3405,569,37062,36495,35610,885,567,61675,51029,49306,1723,900,10646,South Dakota
Tennessee,958993,776429,754837,21592,182564,142127,135719,133753,1966,6408,220771,199838,198360,1478,20933,596095,440872,422724,18148,15912,155223,Tennessee
Texas,4041730,3872742,3768358,104384,168988,465109,459131,424777,34354,5978,604028,556621,548218,8403,47407,2972593,2856990,2795363,61627,19442,115603,Texas
Utah,549841,543733,522124,21609,6108,114615,111875,103312,8563,2740,159314,155962,148814,7148,3352,275912,275896,269998,5898,5,16,Utah
Vermont,208664,200403,194217,6186,8261,69078,61472,56584,4888,7606,45759,45729,45403,326,30,93827,93202,92230,972,18,625,Vermont
Virginia,2173457,1477244,1424529,52715,696213,549489,239046,222566,16480,310443,408070,283540,278923,4617,124530,1215898,954658,923040,31618,3432,261240,Virginia
Washington,1132679,1049150,990978,58172,83529,243188,171475,159088,12387,71713,92681,81370,78243,3127,11311,796810,796305,753647,42658,32622,505,Washington
West Virginia,345643,345491,325098,20393,152,58552,58552,52413,6139,0,104185,104033,102317,1716,152,182906,182906,170368,12538,9837,0,West Virginia
Wisconsin,1321358,1186415,1138835,47580,134943,121120,114570,108682,5888,6550,281532,249952,247273,2679,31580,918706,821893,782880,39013,23253,96813,Wisconsin
Wyoming,171942,165181,157161,8020,6761,30598,30597,28406,2191,1,50341,44142,42714,1428,6199,91003,90442,86041,4401,2123,561,Wyoming
