State,Total (Thousands of dollars),Total justice system Direct expenditure,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total Police protection Direct expenditure,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total Judicial and Legal Direct expenditure,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total Corrections Direct expenditure,Direct current,Total Capital outlay,Construct. Only,Intergovernmental expenditure,State
Total,79425264,74325804,71201120,3124684,5099460,12875854,11383130,10626729,756401,1492724,20051535,18921485,18427465,494020,1130050,46497875,44021189,42146926,1874263,1496455,2476686,Total
Alabama,961038,908781,883974,24807,52257,167962,144352,129871,14481,23610,278691,277254,274651,2603,1437,514385,487175,479452,7723,2049,27210,Alabama
Alaska,491758,485369,477272,8097,6389,78978,72589,70085,2504,6389,175636,175636,171776,3860,0,237144,237144,235411,1733,1504,0,Alaska
Arizona,1431491,1328209,1276690,51519,103282,252728,243270,207331,35939,9458,231841,186713,182119,4594,45128,946922,898226,887240,10986,748,48696,Arizona
Arkansas,529383,528527,501930,26597,856,70632,70621,70621,0,11,127034,126692,126664,28,342,331717,331214,304645,26569,26569,503,Arkansas
California,13511284,13135855,12864800,271055,375429,1450630,1429392,1361986,67406,21238,3967445,3919492,3857379,62113,47953,8093209,7786971,7645435,141536,103263,306238,California
Colorado,1271790,1119679,1084218,35461,152111,114975,111460,109091,2369,3515,260988,260530,251642,8888,458,895827,747689,723485,24204,13664,148138,Colorado
Connecticut,1449616,1441403,1404476,36927,8213,205351,205351,196577,8774,0,576086,576086,566197,9889,0,668179,659966,641702,18264,14692,8213,Connecticut
Delaware,515637,508256,501189,7067,7381,104878,102672,98482,4190,2206,144822,139647,138845,802,5175,265937,265937,263862,2075,36,0,Delaware
Florida,4283980,4269920,4157099,112821,14060,462320,455560,426113,29447,6760,1279273,1271973,1258509,13464,7300,2542387,2542387,2472477,69910,58559,0,Florida
Georgia,1937007,1866027,1801455,64572,70980,267801,244825,236252,8573,22976,203710,198821,198688,133,4889,1465496,1422381,1366515,55866,49498,43115,Georgia
Hawaii,449986,443987,407095,36892,5999,15661,13411,12788,623,2250,237052,233303,203107,30196,3749,197273,197273,191200,6073,4707,0,Hawaii
Idaho,325761,315113,300819,14294,10648,47038,45085,41584,3501,1953,68190,68171,67424,747,19,210533,201857,191811,10046,8721,8676,Idaho
Illinois,2064474,1939380,1898775,40605,125094,452122,403897,389728,14169,48225,403124,336816,333571,3245,66308,1209228,1198667,1175476,23191,18806,10561,Illinois
Indiana,1001467,972608,943453,29155,28859,229609,229518,210824,18694,91,139121,139121,137768,1353,0,632737,603969,594861,9108,5479,28768,Indiana
Iowa,588913,563679,545144,18535,25234,94776,86250,77671,8579,8526,235033,221722,218686,3036,13311,259104,255707,248787,6920,3341,3397,Iowa
Kansas,583031,522225,508117,14108,60806,108582,94301,84723,9578,14281,156800,156373,155422,951,427,317649,271551,267972,3579,2496,46098,Kansas
Kentucky,1060522,986908,967719,19189,73614,191395,164174,155620,8554,27221,397604,371259,364033,7226,26345,471523,451475,448066,3409,0,20048,Kentucky
Louisiana,1169195,918817,884646,34171,250378,316352,210567,199633,10934,105785,201375,186371,183394,2977,15004,651468,521879,501619,20260,15937,129589,Louisiana
Maine,299952,287330,279531,7799,12622,71324,69884,64215,5669,1440,98577,87395,86244,1151,11182,130051,130051,129072,979,95,0,Maine
Maryland,2268430,2170719,2085799,84920,97711,419201,354339,347959,6380,64862,472907,468956,456812,12144,3951,1376322,1347424,1281028,66396,51571,28898,Maryland
Massachusetts,2713617,2399923,2230913,169010,313694,567989,464047,446612,17435,103942,927715,925599,820454,105145,2116,1217913,1010277,963847,46430,35024,207636,Massachusetts
Michigan,2413112,2226231,2220158,6073,186881,311262,276383,272251,4132,34879,300192,183408,182890,518,116784,1801658,1766440,1765017,1423,804,35218,Michigan
Minnesota,1252064,1091097,999143,91954,160967,327884,244684,234516,10168,83200,388943,377157,371252,5905,11786,535237,469256,393375,75881,66856,65981,Minnesota
Mississippi,529370,482368,466738,15630,47002,115294,96647,85493,11154,18647,87325,84413,83030,1383,2912,326751,301308,298215,3093,114,25443,Mississippi
Missouri,1106508,1054919,990278,64641,51589,198852,198852,168184,30668,0,238535,230944,224667,6277,7591,669121,625123,597427,27696,19180,43998,Missouri
Montana,266387,259941,253338,6603,6446,40448,34002,30906,3096,6446,79365,79365,77542,1823,0,146574,146574,144890,1684,969,0,Montana
Nebraska,352475,335121,326422,8699,17354,80482,63216,59085,4131,17266,59395,59395,59348,47,0,212598,212510,207989,4521,3903,88,Nebraska
Nevada,466708,460025,439864,20161,6683,96649,91987,86692,5295,4662,75679,75217,74206,1011,462,294380,292821,278966,13855,10306,1559,Nevada
New Hampshire,262405,255914,244258,11656,6491,49462,47939,42687,5252,1523,103418,98655,96935,1720,4763,109525,109320,104636,4684,3225,205,New Hampshire
New Jersey,2922772,2771748,2711454,60294,151024,525964,491836,459999,31837,34128,906858,856878,839868,17010,49980,1489950,1423034,1411587,11447,6316,66916,New Jersey
New Mexico,751195,746544,725873,20671,4651,168929,164278,154467,9811,4651,241087,241087,235445,5642,0,341179,341179,335961,5218,877,0,New Mexico
New York,6348200,5993207,5564427,428780,354993,906359,766308,689930,76378,140051,2315142,2210595,2114552,96043,104547,3126699,3016304,2759945,256359,207773,110395,New York
North Carolina,2408920,2301138,2126605,174533,107782,593039,490556,425073,65483,102483,544553,542767,527862,14905,1786,1271328,1267815,1173670,94145,79350,3513,North Carolina
North Dakota,118541,115832,111614,4218,2709,23737,22022,20109,1913,1715,40521,40214,38956,1258,307,54283,53596,52549,1047,766,687,North Dakota
Ohio,1917468,1706717,1630926,75791,210751,221605,221605,195768,25837,0,359966,308748,300698,8050,51218,1335897,1176364,1134460,41904,30666,159533,Ohio
Oklahoma,975121,931109,900990,30119,44012,145801,145173,135806,9367,628,242484,216993,213539,3454,25491,586836,568943,551645,17298,8998,17893,Oklahoma
Oregon,1171054,1010910,872990,137920,160144,228593,168594,155144,13450,59999,244839,244839,238399,6440,0,697622,597477,479447,118030,113535,100145,Oregon
Pennsylvania,3081378,2867867,2638862,229005,213511,719268,713481,687285,26196,5787,641736,489309,487408,1901,152427,1720374,1665077,1464169,200908,188027,55297,Pennsylvania
Rhode Island,352433,352011,325118,26893,422,60470,60048,57667,2381,422,113599,113599,100232,13367,0,178364,178364,167219,11145,10620,0,Rhode Island
South Carolina,770330,721283,676689,44594,49047,196501,177578,151087,26491,18923,102935,77820,76109,1711,25115,470894,465885,449493,16392,8702,5009,South Carolina
South Dakota,171567,168847,163519,5328,2720,29632,28066,25887,2179,1566,38769,38700,37859,841,69,103166,102081,99773,2308,1888,1085,South Dakota
Tennessee,1166824,965780,869730,96050,201044,140725,140725,137853,2872,0,256737,230517,229974,543,26220,769362,594538,501903,92635,91487,174824,Tennessee
Texas,4600815,4395842,4254357,141485,204973,611716,605724,546157,59567,5992,686795,612771,607931,4840,74024,3302304,3177347,3100269,77078,23823,124957,Texas
Utah,603887,594275,584279,9996,9612,116946,115385,112091,3294,1561,176607,168556,165547,3009,8051,310334,310334,306641,3693,38,0,Utah
Vermont,246018,239045,234990,4055,6973,77135,71423,68223,3200,5712,54135,54135,53823,312,0,114748,113487,112944,543,28,1261,Vermont
Virginia,2598518,1744441,1699432,45009,854077,661221,284357,265455,18902,376864,511925,353948,344876,9072,157977,1425372,1106136,1089101,17035,2480,319236,Virginia
Washington,1542718,1438935,1234682,204253,103783,311756,226609,208839,17770,85147,140620,122656,117315,5341,17964,1090342,1089670,908528,181142,169859,672,Washington
West Virginia,449270,448734,435353,13381,536,61691,61691,54658,7033,0,153940,153763,150230,3533,177,233639,233280,230465,2815,930,359,West Virginia
Wisconsin,1455802,1322102,1296167,25935,133700,125814,120397,120024,373,5417,302825,271168,269400,1768,31657,1027163,930537,906743,23794,18381,96626,Wisconsin
Wyoming,215072,211106,197750,13356,3966,38315,37999,37627,372,316,59586,55938,54187,1751,3648,117171,117169,105936,11233,9795,2,Wyoming
