State,Year,Aggravated assault,All other offenses (except traffic),Arson,Burglary,Curfew and loitering law violations,Disorderly conduct,Driving under the influence,Drug abuse violations,Drunkenness,Embezzlement,Forcible rape,Forgery and counterfeiting,Fraud,Gambling,Larceny-theft,Liquor laws,Motor vehicle theft,Murder and nonnegligent manslaughter,Offenses against the family and children,Other assaults,Population,Property crime,Prostitution and commercialized vice,Robbery,Runaways,Sex offenses (except forcible rape and prostitution),"Stolen property; buying, receiving, possessing",Suspicion,Total all classes ,Vagrancy,Vandalism,Violent crime,"Weapons; carrying, possessing, etc.",
MARYLAND,2008,7847,104757,565,7411,236,7431,23714,57288,12,433,404,1093,2368,283,26879,6820,3292,307,2220,29510,5574256,38147,1337,4443,637,1343,241,591,300165,160,4215,13001,4328,
MASSACHUSETTS,2008,10022,33868,133,3725,13,8337,12941,19825,6021,155,310,623,1518,35,13906,4214,707,77,1295,21337,6819911,18471,1229,2065,293,696,1337,28,149582,19,3448,12474,1405,
MICHIGAN,2008,9190,80678,300,6251,802,9247,35534,31775,343,1176,578,915,5800,136,25696,20242,2919,142,2610,26868,9664761,35166,761,2488,1200,962,1851,0,276904,254,3569,12398,4617,
MINNESOTA ,2008,4109,36381,190,3388,3882,14227,29832,18196,0,39,106,1605,3481,14,24188,27458,1479,111,856,18243,5074064,29245,1338,1286,3479,1524,1692,0,204367,360,4634,5612,2269,
MISSISSIPPI,2008,1074,34431,101,2248,500,7233,11629,11741,6272,715,165,883,1895,227,8275,2269,485,135,3606,10244,2308021,11109,119,572,288,412,715,32,108280,75,936,1946,1003,
MISSOURI,2008,9197,103576,386,7085,1805,15431,34004,35990,581,223,548,2515,3638,125,34447,14242,3343,356,4636,36334,5942829,45261,635,2419,3450,2434,3066,0,332126,250,7352,12520,4058,
MONTANA,2008,769,5620,57,360,518,3032,4240,1620,0,32,25,64,166,0,3973,5471,227,11,313,4071,932625,4617,11,47,405,64,33,0,32378,9,1119,852,121,
NEBRASKA,2008,1381,17329,78,908,460,4306,13692,10432,0,113,146,446,1691,19,8242,12746,374,43,1539,9072,1634173,9602,212,397,415,595,830,1,89301,28,2698,1967,1108,
NEVADA,2008,4272,56321,220,3492,3189,3156,14445,14886,201,523,263,1017,1942,35,12712,10011,1118,146,1491,18585,2545496,17542,4659,1835,1187,1594,1606,17,166395,2438,2983,6516,2051,
NEW HAMPSHIRE,2008,400,12512,47,437,33,1200,4571,3266,4168,29,69,202,924,5,2596,4909,85,5,165,5595,1032522,3165,56,150,304,152,481,0,43634,45,1140,624,88,
NEW JERSEY,2008,8929,151567,397,6419,4728,23314,24313,52749,0,162,372,1729,4992,158,26932,7683,917,276,15113,26380,8355142,34665,1453,4371,4049,1527,4027,0,386427,1897,6914,13948,5059,
NEW MEXICO,2008,2847,32066,102,1215,64,2700,9741,6113,746,167,129,246,506,3,7336,3389,350,71,931,6563,2445951,9003,219,417,273,151,732,32,78500,2,770,3464,619,
NEW YORK ,2008,9111,73803,435,7893,0,13505,25169,52945,0,203,543,3488,7259,86,38595,4631,1992,273,2472,28925,19223778,48915,824,3393,0,3887,4835,0,300683,968,12069,13320,3379,
NORTH CAROLINA,2008,13390,118692,316,14459,0,14976,49599,36571,0,1723,520,2396,19035,138,44112,10778,1511,578,6534,49545,8612884,60398,1408,4364,1110,1362,5263,0,413895,195,7886,18852,7434,
NORTH DAKOTA,2008,335,5950,22,281,275,1864,4003,1769,630,35,45,75,655,0,2497,5582,175,3,164,1897,580591,2975,3,25,624,95,139,0,27896,3,584,408,166,
OHIO,2008,3520,61678,241,6211,1472,20493,19088,30580,4459,44,487,1323,3180,76,27928,12815,1081,186,6705,30596,11866208,35461,1266,2615,870,964,3622,53,249113,65,4496,6808,2999,
OKLAHOMA,2008,4649,39921,278,3114,2227,3401,18980,20548,25426,659,316,831,2510,7,13046,3013,591,160,977,10180,3638086,17029,412,831,2715,720,2261,0,161466,0,1562,5956,2131,
OREGON,2008,3286,21877,344,2816,2006,8214,17015,16723,0,54,276,986,1684,3,22590,19287,1452,95,611,15447,3649695,27202,752,1187,2035,1334,374,0,147653,10,5418,4844,1777,
PENNSYLVANIA,2008,16621,57100,683,10310,25066,62987,53319,56228,25838,490,1167,2977,8634,268,46384,26626,3479,576,1155,47334,12020349,60856,2498,7412,2079,2779,3077,0,483711,1101,12947,25776,4576,
RHODE ISLAND,2008,547,12166,47,777,9,3120,2778,3791,12,133,58,140,758,4,2794,936,138,12,159,4104,1050788,3756,216,259,80,122,340,0,35157,2,1264,876,391,
SOUTH CAROLINA,2008,5400,37843,128,3552,60,15768,14742,18224,12850,352,289,1534,13705,53,13725,12648,772,198,1438,13990,4399248,18177,388,1383,614,442,1658,0,177424,1520,2466,7270,1682,
SOUTH DAKOTA,2008,368,2270,44,281,167,1746,6190,2395,53,48,53,109,840,0,2342,5745,115,13,342,2902,730213,2782,10,31,653,77,61,0,27721,133,604,465,129,
TENNESSEE,2008,10044,93705,267,6221,1927,10759,26322,34686,20522,1147,344,3104,9361,360,30894,8071,2324,304,1771,31413,5948055,39706,2111,2934,2166,731,880,0,309981,80,4295,13626,3238,
TEXAS,2008,23139,334786,732,19693,13164,40371,90066,136897,140094,573,2034,7323,13473,500,104395,29859,5962,863,4939,109003,23376796,130782,8784,8199,13247,4059,745,0,1141646,3224,13855,34235,11667,
UTAH,2008,1321,35533,102,1342,1015,4563,6894,9242,4181,22,181,927,1031,7,16821,9577,460,47,1667,10515,2376842,18725,463,495,625,811,787,0,114017,189,3999,2044,1200,
VERMONT,2008,356,3226,19,300,0,854,2647,1137,9,42,71,88,346,0,1308,662,87,8,313,1454,609775,1714,6,21,2,23,133,0,13533,1,402,456,18,
VIRGINIA,2008,4584,107713,306,4624,2854,5912,27732,32513,30407,1936,370,2433,8818,58,27101,12885,1052,309,1643,38256,7543553,33083,558,2194,5719,1068,989,0,331159,111,4979,7457,4035,
WASHINGTON,2008,4527,69732,276,4895,48,4797,34952,23440,3,147,675,1567,991,1,25769,11634,1412,104,691,26165,5761193,32352,694,1637,1600,994,2792,0,228993,32,6539,6943,2879,
WEST VIRGINIA,2008,1066,11571,34,583,69,1075,4429,4249,4264,91,40,306,731,19,4263,1217,179,31,66,5643,1109343,5059,150,143,63,112,204,0,41681,18,797,1280,268,
WISCONSIN,2008,5164,123248,399,4664,7046,64868,40549,25075,0,268,710,1842,6321,137,35698,41928,1664,195,2768,19821,5540528,42425,687,1981,4103,2750,1815,0,411968,2795,10475,8050,4997,
WYOMING,2008,539,11999,22,334,428,1469,7159,2969,2754,5,45,113,226,7,2592,4617,125,14,267,3408,528009,3073,34,35,480,173,75,31,40979,34,889,633,136,
ALABAMA  ,2007,3807,77383,107,3379,55,5014,12857,17309,10584,61,319,1892,7818,57,16258,6073,1068,336,1054,25034,4482050,20812,182,1763,497,604,2255,1,199688,421,2033,6225,1467,
ALASKA,2007,1453,15651,30,470,11,986,5187,1759,129,8,75,136,161,8,3390,1847,357,39,332,4098,654555,4247,343,160,390,172,21,2,38578,7,954,1727,402,
ARIZONA,2007,6106,90644,289,4681,4268,16750,38260,35384,4,393,215,4446,1983,1,30342,27405,3924,297,3105,24597,5941252,39236,1600,1872,5352,1695,1285,0,321503,1344,11573,8490,3688,
ARKANSAS,2007,2318,41421,32,2064,528,2323,8892,9953,8118,19,143,811,3124,3,6973,1369,274,60,234,8162,1875132,9343,154,416,291,154,891,1,101694,673,1336,2937,957,
CALIFORNIA ,2007,99066,350310,1541,53738,21126,16604,204015,289449,112398,2268,2141,9862,10159,689,87455,21108,22458,2022,395,90070,35715843,165192,12558,21064,4189,15145,19752,0,1540894,4000,34799,124293,32513,
COLORADO ,2007,4341,80426,308,2644,2088,12287,27969,18290,305,220,427,1256,2379,8,19507,15943,1525,109,2745,15089,4358882,23984,668,864,5534,840,1026,9,225099,171,5796,5741,2325,
CONNECTICUT,2007,3931,30986,238,2608,43,15372,8571,14663,3,214,224,792,1441,25,11895,1130,805,66,1318,19129,3243990,15546,479,1260,18,564,450,0,120182,36,2564,5481,1357,
DELAWARE,2007,2052,6082,64,1027,121,2449,229,5744,587,282,130,633,2061,2,4871,2503,147,23,244,8491,853712,6109,188,652,0,167,454,0,41350,560,1166,2857,421,
DISTRICT OF COLUMBIA    ,2007,45,3447,0,1,0,204,23,77,80,0,0,0,1,0,62,1477,28,1,0,196,,91,0,77,0,0,16,0,5933,135,34,123,29,
FLORIDA    ,2007,37999,529562,440,28307,,,58824,169360,,1450,1793,5077,17277,297,94857,34898,10874,902,,92738,18207878,134478,6131,11597,,3706,2891,,1126395,,9152,52291,8263,
GEORGIA,2007,8779,104962,602,7099,882,24910,26442,44019,4686,332,356,4634,7317,197,29548,9954,2337,439,3482,27667,8916753,39586,1171,3176,2520,3724,4067,203,333657,882,3742,12750,5528,
IDAHO,2007,1230,27215,111,1044,842,2447,11014,5660,435,118,114,255,490,1,5163,5946,260,33,584,6212,1382317,6578,10,74,2026,347,245,0,73896,13,1436,1451,571,
ILLINOIS,2007,5000,26287,111,2937,828,22274,5624,55125,0,1,517,490,1318,4194,13895,1672,5129,372,435,27562,12980147,22072,4050,2890,18,1187,81,0,191268,73,5462,8779,3736,
INDIANA,2007,5004,57936,199,3963,1136,7908,23463,22753,17567,12,278,1743,2067,155,21803,10839,2056,223,1668,14986,6535059,28021,1861,1897,3338,1576,6374,144,215449,26,2547,7402,1927,
IOWA,2007,3492,29581,140,2096,947,6519,13130,8825,11940,99,115,688,1023,12,10638,8468,568,15,843,10266,2567706,13442,149,374,634,214,253,0,114816,27,3274,3996,486,
KANSAS,2007,1826,18501,77,1033,0,3565,12080,7089,278,170,170,446,1037,0,4639,7066,421,53,217,10113,1783134,6170,241,292,1485,283,310,0,73904,0,1745,2341,767,
KENTUCKY,2007,1005,22664,13,1628,170,1453,3490,11883,4023,17,39,625,777,8,6386,1038,242,33,804,3108,4850422,8269,766,730,122,77,876,0,63884,612,746,1807,549,
LOUISIANA,2007,6329,47624,154,5103,707,16257,8725,22964,3147,329,324,868,2086,139,16555,6391,1143,242,1745,21777,4617038,22955,548,1119,721,1033,1575,61,173584,562,3327,8014,2029,
MAINE,2007,461,17864,70,1306,57,1882,8097,5721,65,57,71,350,869,2,6064,4472,287,19,139,7160,1314909,7727,42,172,104,256,193,0,57731,0,1535,723,416,
MARYLAND,2007,7719,106364,478,6972,276,7171,24230,55155,1,409,348,1042,2329,454,23780,6830,3365,327,2255,29922,5562657,34595,1377,4119,696,1513,261,720,296861,126,4351,12513,4271,
MASSACHUSETTS,2007,9615,33257,138,3707,7,8019,11746,20626,7378,119,305,828,1396,22,12302,5209,995,68,1626,18796,6899072,17142,1098,1859,284,606,1326,172,146284,14,3380,11847,1386,
MICHIGAN,2007,10504,98247,349,6122,976,9872,40584,33923,432,1249,598,1176,6231,159,26640,22237,3464,306,3308,28988,9301438,36575,603,2692,1348,1094,2253,0,312777,419,3917,14100,5086,
MINNESOTA ,2007,4376,39756,204,3521,4022,15158,31735,18814,0,24,125,1994,3482,12,22470,29932,1781,115,834,19537,5078367,27976,1119,1334,4105,1574,2045,0,215671,406,4821,5950,2375,
MISSISSIPPI,2007,1026,24923,101,1753,555,6199,7881,10289,4897,674,135,698,1267,382,5892,2496,439,83,2248,9596,2082611,8185,110,545,217,308,641,47,85271,69,1042,1789,758,
MISSOURI,2007,8398,99390,313,5734,1200,13345,31633,32958,322,154,461,2248,3919,110,27310,14380,2292,217,3772,30032,5880958,35649,320,1689,2665,2132,2976,0,297234,204,6169,10765,2891,
MONTANA,2007,780,4507,59,240,568,2431,3264,1566,0,28,26,59,168,0,3454,5011,230,11,252,3775,803145,3983,30,47,355,66,22,0,28136,41,1054,864,92,
NEBRASKA,2007,1228,18140,101,845,290,4089,12350,9816,0,102,135,520,1743,11,7493,11228,384,47,1507,8136,1506881,8823,182,289,312,579,830,0,83957,44,2519,1699,1037,
NEVADA,2007,3519,59493,139,2889,3572,3255,12538,14444,123,544,186,1329,2315,98,10747,9281,1831,151,1650,18817,2467618,15606,5430,1739,1451,1385,1727,34,167412,3873,2463,5595,2389,
NEW HAMPSHIRE,2007,248,11345,30,333,8,918,4146,2570,4333,22,30,139,877,24,1829,4753,82,4,180,4337,891903,2274,27,76,270,138,409,0,38396,21,1158,358,89,
NEW JERSEY,2007,8946,151131,372,5848,4872,22776,25031,52773,0,139,400,1738,3681,182,24672,7757,936,269,14958,26830,8421399,31828,1706,4065,4642,1606,4567,0,383797,992,7457,13680,5451,
NEW MEXICO,2007,2829,32312,43,1001,12,2737,10006,6805,607,163,117,278,453,1,5256,4014,389,74,713,6856,2391131,6689,348,376,488,147,824,37,78484,14,856,3396,728,
NEW YORK ,2007,10807,85392,473,8283,0,15868,28440,61163,2,1031,715,4445,8474,163,41506,5262,2707,362,2489,33324,19520724,52969,1318,4185,0,4344,5701,0,345251,1133,13408,16069,4256,
NORTH CAROLINA,2007,14238,126607,417,15261,2,16454,26928,38343,0,1865,577,2728,22278,159,38769,9898,1668,622,7258,53785,8998327,56115,1492,4186,500,1478,5530,0,407663,382,8594,19623,7644,
NORTH DAKOTA,2007,239,5541,25,259,318,1584,4119,1743,713,28,38,113,863,3,2068,5717,165,11,168,1957,562723,2517,6,33,722,70,130,0,27359,4,608,321,114,
OHIO,2007,3564,63863,302,6110,1791,20922,19155,34740,4887,31,562,1369,3373,53,25564,13600,1399,194,7448,30211,11848511,33375,1472,2591,947,1027,3972,65,256718,49,4506,6911,2951,
OKLAHOMA,2007,4370,39578,275,3066,2200,3474,18229,22319,25171,637,319,977,2662,5,10810,3295,1010,183,1072,10302,3615869,15161,434,793,3129,781,2555,0,161719,0,1553,5665,2520,
OREGON,2007,3389,21371,301,2869,2735,7615,17096,18664,0,62,294,1393,1768,7,21006,17928,2049,82,621,15173,3522777,26225,516,1173,2143,1270,684,0,147335,24,5213,4938,1889,
PENNSYLVANIA,2007,15788,54661,742,9722,25321,60747,49238,57305,24316,448,1094,3356,9376,280,41558,26428,4168,516,1102,45908,12408646,56190,2301,7211,2152,2772,3355,0,467655,764,12457,24609,4569,
RHODE ISLAND,2007,346,9891,33,567,30,2313,2131,2933,9,140,37,102,678,16,1975,749,125,9,146,2946,876018,2700,128,71,52,74,253,0,26966,0,955,463,257,
SOUTH CAROLINA,2007,8256,40126,187,5306,50,14808,11712,30679,10618,559,418,2457,17664,192,18615,11311,1073,302,1611,23105,4179455,25181,654,1705,535,671,2489,0,213355,1361,4173,10681,2718,
SOUTH DAKOTA,2007,211,1266,30,175,254,979,4203,1371,105,16,29,52,610,0,1244,4572,53,8,202,1815,788719,1502,4,17,292,41,67,0,18014,13,301,265,84,
TENNESSEE,2007,10044,84595,199,5880,1951,11774,27178,38899,21671,1155,368,3426,9323,335,27773,8754,2501,286,1420,30507,5848243,36353,2219,2915,2109,733,835,0,304793,61,4478,13613,3404,
TEXAS,2007,23010,314501,841,18544,12203,41719,88236,136361,130622,427,1947,7843,14401,695,93431,29125,6817,759,4757,99238,21758415,119633,8552,7593,12568,3878,642,0,1087325,2652,13282,33309,12681,
UTAH,2007,1159,41746,146,1256,1969,5101,7204,9239,4426,17,195,990,1269,3,13667,10679,625,38,2073,9788,2316297,15694,349,406,692,865,869,1,120167,212,3930,1798,1253,
VERMONT,2007,365,3891,19,356,0,1070,3662,1632,5,40,40,121,414,0,1343,843,102,9,336,1756,608835,1820,2,24,6,53,168,0,16731,2,445,438,27,
VIRGINIA,2007,4551,104106,364,4381,2620,7034,24170,32941,28899,1817,354,2101,8299,113,22858,10129,959,267,1636,36747,7325924,28562,647,2057,5556,1019,1015,0,313457,78,4847,7229,3892,
WASHINGTON,2007,4816,69690,344,5211,31,5136,37317,28872,0,158,770,2111,1223,10,28673,12918,1845,115,725,28616,5877122,36073,874,1915,1821,1187,3903,0,248676,46,6901,7616,3448,
WEST VIRGINIA,2007,966,14213,54,622,65,1222,6327,3928,4684,101,32,337,1056,4,3608,1569,214,35,62,5919,1400508,4498,233,149,54,109,281,0,46835,10,692,1182,289,
WISCONSIN,2007,5037,126265,263,4900,7671,65824,41308,25746,5,249,782,2015,7346,153,33639,43695,2187,217,2884,20158,5484944,40989,825,1971,4619,3041,1687,0,421093,3054,10658,8007,4894,
WYOMING,2007,548,12879,23,292,437,1452,6116,3110,2480,7,37,93,180,5,2230,4370,138,13,230,3370,516496,2683,4,43,490,157,74,92,39808,21,783,641,134,
ALABAMA  ,2006,3648,74319,107,3262,31,4478,12374,16860,9371,34,320,1901,8524,87,12820,5778,1057,347,975,24666,4691413,17246,191,1610,429,553,2232,0,189558,288,2058,5925,1238,
ALASKA,2006,1392,15131,43,555,0,913,4334,1701,172,8,60,122,165,1,3383,1940,385,36,345,4130,641049,4366,192,144,285,183,16,1,36994,3,954,1632,400,
ARIZONA,2006,6565,88258,288,4629,3973,17251,35251,35470,1,294,208,3122,2075,23,25846,24317,4538,294,3371,24721,5893944,35301,1518,1566,5271,1505,1435,0,307695,1128,11074,8633,3703,
ARKANSAS,2006,3704,43009,86,2610,810,3012,9388,11154,8623,8,240,1278,2934,13,8619,1723,485,130,273,8286,1943587,11800,251,646,530,235,1124,199,113791,1608,1384,4720,1429,
CALIFORNIA ,2006,99448,347996,1665,52204,19613,17014,197775,301406,106859,2269,2119,10110,10157,557,84265,21533,28283,1965,509,89196,36291331,166417,12908,20343,5286,15665,21380,0,1543797,5198,34527,123875,33547,
COLORADO ,2006,5398,95458,275,3070,2579,12023,30862,19513,384,192,484,1699,2537,5,18963,16968,1886,112,2976,15801,4493272,24194,497,1053,3605,1018,1226,23,247536,190,6351,7047,2388,
CONNECTICUT,2006,3196,26302,332,1945,137,12879,5105,12249,12,165,234,645,996,13,9207,994,694,93,1087,14613,2137426,12178,481,978,36,423,606,0,96616,23,1928,4501,1243,
DELAWARE,2006,1862,6315,89,1083,112,2769,233,5538,472,227,132,588,2077,13,4126,2321,167,19,221,7890,853476,5465,105,550,1,177,426,0,39832,706,1149,2563,464,
DISTRICT OF COLUMBIA    ,2006,41,3258,1,1,2,248,17,91,78,1,0,3,1,0,42,1397,15,0,0,178,,59,0,53,0,2,12,0,5681,182,29,94,29,
FLORIDA    ,2006,38351,534759,473,27188,,,55278,168119,,1569,1960,4804,16240,352,81597,32137,11902,755,,94816,18015015,121160,5443,9703,,3861,2737,,1110535,,9880,50769,8611,
GEORGIA,2006,7786,70543,483,3948,535,20530,16615,33922,3207,127,255,3555,6293,268,17305,10220,1682,252,2420,16434,8185684,23418,1540,2002,976,3231,3295,20,234735,835,2076,10295,4380,
HAWAII,2006,725,22520,31,421,216,588,5059,2428,6,28,89,222,209,21,2893,895,613,28,27,4334,1081338,3958,428,303,4339,305,127,0,48018,0,937,1145,226,
IDAHO,2006,1066,22814,99,904,696,2451,10308,5285,242,123,127,281,511,15,4779,5453,278,27,446,5846,1236683,6060,7,110,1766,326,248,0,65945,7,1170,1330,560,
ILLINOIS ,2006,5253,30501,105,2988,706,21513,5971,57495,0,0,14,324,1296,3882,14583,1537,5785,320,424,27853,13011534,23461,4736,3320,20,944,88,0,191165,179,5737,402,4096,
INDIANA,2006,4341,42647,153,3075,513,5435,22586,19633,12522,42,153,1007,1867,32,16747,11880,1112,161,2059,13567,6741675,21087,198,916,3646,1063,1004,123,170293,40,2447,5571,1324,
IOWA,2006,3383,29651,151,2013,927,5789,13028,8512,10013,63,107,748,1031,12,9064,8739,508,26,931,9416,2479827,11736,95,331,438,280,200,0,109230,13,3278,3847,483,
KANSAS,2006,1749,16953,68,946,0,3708,11249,6523,238,125,175,508,1358,0,4190,6852,422,47,247,9728,1783369,5626,212,206,1612,285,275,0,70057,0,1701,2177,680,
KENTUCKY,2006,1127,26159,27,1754,216,1943,4971,12192,5543,21,64,706,1170,18,6342,1014,320,41,1203,3612,4984186,8443,656,807,160,110,1242,0,73504,646,779,2039,661,
LOUISIANA,2006,5697,43800,109,3819,497,17941,8755,23506,2193,170,306,814,1974,80,12081,6945,1078,292,975,20364,4057838,17087,519,953,524,809,1607,36,161316,294,3393,7248,1785,
MAINE,2006,474,17606,76,1376,74,1845,7704,5779,78,48,81,367,892,9,5258,4952,291,0,378,7100,1317948,7001,28,186,141,278,198,0,57351,0,1732,741,400,
MARYLAND,2006,7501,108635,566,7389,281,6697,22898,55466,3,348,400,1207,2563,356,22774,6061,4016,317,2267,29762,5571209,34745,1694,4213,878,1330,201,723,297530,155,4444,12431,4385,
MASSACHUSETTS,2006,9235,31463,91,3191,19,7385,8359,17729,6827,90,303,753,1365,10,10932,4575,856,74,1356,15931,6471817,15070,823,1951,310,553,1317,173,130219,16,3231,11563,1301,
MICHIGAN,2006,10293,101709,367,6000,1527,10301,44553,33886,538,1358,747,1261,6384,160,25085,25263,4014,209,3348,28791,9426852,35466,834,2680,1525,1203,2464,0,324698,563,4326,13929,5309,
MINNESOTA ,2006,4224,37857,245,3344,4847,13282,26098,18186,0,26,,1927,3786,26,19085,25700,1885,90,814,18075,5010061,24559,1200,1292,4247,1375,1992,0,,332,5034,,2472,
MISSISSIPPI,2006,1268,35165,106,2245,475,8235,11250,16190,7324,739,203,1030,2311,397,6981,3022,525,155,4263,12565,2616759,9857,171,642,261,432,907,106,119506,71,1291,2268,1176,
MISSOURI,2006,12361,123165,468,7129,1914,16123,38859,44762,108,165,737,3158,4614,195,30253,15123,4205,351,5169,37720,5748820,42055,1085,2443,3349,2981,3228,0,372182,324,8093,15892,4100,
NEBRASKA,2006,1069,20114,113,962,379,4136,12726,10321,0,78,145,570,1703,18,7565,11549,333,44,1621,8594,1543773,8973,233,317,407,609,1047,1,88602,42,2783,1575,1123,
NEVADA,2006,2870,62064,149,2954,3381,2876,11060,13784,189,452,207,999,2858,126,10025,8409,2195,159,1766,19001,2481554,15323,4609,1659,1651,1308,1890,27,163109,1775,2221,4895,2445,
NEW HAMPSHIRE,2006,372,13841,54,397,17,1482,4783,3228,4453,35,67,210,1027,1,2298,5376,136,8,158,5427,1039150,2885,98,145,351,200,411,0,46100,48,1350,592,127,
NEW JERSEY,2006,9149,146975,455,6144,6322,21548,25181,54168,3,120,428,1972,4855,309,23595,8036,1094,312,15307,28048,8446877,31288,2022,4425,5013,1761,5114,5,388116,1635,7660,14314,6460,
NEW MEXICO,2006,2290,32339,76,984,18,2727,8441,5775,167,149,99,295,508,13,4039,3716,421,67,857,5608,2268388,5520,333,350,386,128,753,125,72114,0,692,2806,758,
NEW YORK ,2006,10767,87472,422,8611,0,16474,28696,61748,0,196,730,4439,9354,157,36906,5864,2824,298,2640,31920,19446127,48763,1765,4300,0,4490,5884,0,345357,1599,13440,16095,4361,
NORTH CAROLINA,2006,13408,127080,374,14874,12,16351,50674,35066,0,1734,702,3182,25006,593,36471,16408,1682,629,8297,53250,8749209,53401,1414,3921,1413,1347,5757,0,436676,503,8904,18660,7624,
NORTH DAKOTA,2006,207,5688,30,329,252,1751,4581,1783,605,27,39,146,1122,0,1696,6336,201,4,186,1919,575177,2256,2,25,667,78,123,0,28597,0,657,275,143,
OHIO,2006,3604,62940,281,5320,1764,18146,18960,31368,4138,21,476,1390,3392,100,21816,11710,1495,164,7541,24083,11693115,28912,951,2320,881,895,3888,23,235005,79,4327,6564,2932,
OKLAHOMA,2006,4139,34195,364,2882,2228,3094,15936,20823,22120,500,261,898,2082,49,9407,3588,969,154,775,9703,3254461,13622,450,750,3037,737,2156,0,145171,0,1323,5304,2551,
OREGON,2006,2839,17802,289,2482,2160,6355,14016,17352,0,61,263,1254,1451,13,17950,13434,1767,101,509,13202,3099031,22488,677,939,1876,1129,678,0,124612,4,4277,4142,1732,
PENNSYLVANIA,2006,16187,53626,707,9803,29734,57363,46093,54412,21686,405,1072,3495,10777,337,37691,27319,4598,476,954,43568,12932970,52799,2380,7367,2083,2651,3308,0,457514,1041,13383,25102,4998,
RHODE ISLAND,2006,492,15183,48,587,35,3046,2118,3688,14,174,48,181,883,15,2035,766,146,13,85,3941,954017,2816,215,144,48,103,304,1,35999,11,1323,697,352,
SOUTH CAROLINA,2006,8030,34219,196,4678,45,13040,7650,28713,8033,470,390,2423,19181,113,14984,8329,1041,282,876,22182,4877177,20899,520,1609,439,709,2408,0,187578,734,3626,10311,2658,
SOUTH DAKOTA,2006,118,1372,14,108,164,662,3695,640,146,8,25,20,537,0,581,3670,48,1,228,1153,765423,751,4,10,197,26,8,0,13677,1,189,154,52,
TENNESSEE,2006,9784,77655,235,5869,1564,11245,23296,35455,20935,1029,345,3899,10309,264,23027,8737,2475,326,1582,30460,5877891,31606,2142,2885,2474,769,893,0,285475,25,4443,13340,3353,
TEXAS,2006,22895,318321,784,18328,12999,42913,88165,135914,120286,531,2131,8443,15440,428,85266,29348,7459,777,5519,100697,22453094,111837,8403,7222,11441,4359,758,7,1078961,2779,13022,33025,14326,
