State,Year,Aggravated assault,All other offenses (except traffic),Arson,Burglary,Curfew and loitering law violations,Disorderly conduct,Driving under the influence,Drug abuse violations,Drunkenness,Embezzlement,Forcible rape,Forgery and counterfeiting,Fraud,Gambling,Larceny-theft,Liquor laws,Motor vehicle theft,Murder and nonnegligent manslaughter,Offenses against the family and children,Other assaults,Population,Property crime,Prostitution and commercialized vice,Robbery,Runaways,Sex offenses (except forcible rape and prostitution),"Stolen property; buying, receiving, possessing",Suspicion,Total all classes ,Vagrancy,Vandalism,Violent crime,"Weapons; carrying, possessing, etc.",
LOUISIANA,2003,7829,73827,169,5565,1585,15204,11152,23602,4190,28,444,1466,2793,131,21859,5019,1210,265,1945,27821,4281940,28803,546,1400,1886,1283,2367,100,219924,314,4383,9938,1541,
MAINE,2003,588,17913,76,1257,106,1570,7294,5048,79,34,94,333,1060,26,5628,3431,371,5,344,7261,1300474,7332,12,127,194,250,306,0,55320,0,1659,814,254,
MARYLAND,2003,7960,122187,649,7340,561,6469,23558,54531,4,400,431,1177,3455,402,24907,6234,5308,324,2669,38816,5508909,38204,2371,3500,778,1295,245,64,324414,170,4596,12215,4013,
MASSACHUSETTS,2003,5812,25626,105,2065,29,5286,8582,9397,6250,52,291,528,1045,13,8819,3192,680,34,1839,12712,6488437,11669,630,793,386,420,959,149,98390,11,2090,6930,595,
MICHIGAN,2003,12958,116823,438,6059,1234,9867,48382,33020,716,1282,1006,1240,6199,111,25734,27098,2094,468,4650,32345,9724692,34325,1336,2337,1817,1376,5619,33,353346,292,4228,16769,4584,
MINNESOTA,2003,2333,30201,224,2706,0,9603,24851,13040,0,2,567,1586,3812,22,18216,22930,1216,71,443,13053,5017436,22362,84,406,2083,946,1434,0,155088,62,4069,3377,1128,
MISSISSIPPI,2003,1175,29795,254,1912,483,7162,11120,10697,6025,546,186,1117,1680,423,7878,2596,478,131,3195,10239,2380220,10522,102,532,279,282,723,63,100844,87,999,2024,685,
MISSOURI,2003,11565,83522,468,6244,2185,14737,36826,42131,2166,121,596,3397,4449,323,32267,10451,4367,305,5701,35498,5527314,43346,1394,2157,3498,3226,2636,0,324705,642,9606,14623,4227,
MONTANA,2003,653,4797,25,247,301,1567,2239,664,0,6,26,64,145,1,2683,1801,212,10,328,1926,546626,3167,2,80,244,62,20,0,18855,12,681,769,59,
NEBRASKA,2003,816,18819,108,918,250,4013,12911,9614,0,119,140,752,1878,22,7382,12106,415,55,1376,8543,1489255,8823,490,275,247,583,1026,1,86544,1,2686,1286,998,
NEW HAMPSHIRE,2003,223,11134,19,269,15,1120,5063,2114,3608,9,41,151,651,8,1502,4603,102,5,154,3960,887385,1892,14,91,315,131,250,0,36477,57,794,360,74,
NEW JERSEY,2003,9587,124380,421,6208,5205,21169,23992,51630,9,112,519,1781,5590,280,24421,7953,1292,293,15093,28950,8018213,32342,2106,3945,4676,1844,6139,0,363297,2816,7263,14344,5623,
NEW MEXICO,2003,1822,26908,24,820,50,2358,8832,5084,1319,118,85,270,375,0,4399,3304,276,69,713,4612,2031982,5519,251,273,494,96,672,31,64435,4,579,2249,597,
NEW YORK,2003,8733,76892,404,7199,0,13730,26843,44095,0,216,709,4357,11272,123,32390,5970,2574,226,2882,26343,18561046,42567,1605,3150,0,4336,5987,0,297442,1536,12430,12818,3440,
NORTH CAROLINA,2003,13940,114143,351,13671,2,14850,54264,39583,0,1893,726,3806,32764,360,38247,13480,2231,591,7069,49865,8614261,54500,1243,4154,856,1631,6637,0,432569,1491,8153,19411,6568,
NORTH DAKOTA,2003,117,5271,18,238,339,1570,3806,1623,451,7,35,191,1027,0,1835,5678,201,3,200,1391,535956,2292,0,21,631,84,127,0,25585,3,629,176,89,
OHIO,2003,3034,69881,357,4658,2895,14624,20377,22877,5728,11,451,1749,2447,53,21737,12669,1235,114,12636,21951,11657483,27987,1331,1678,1626,1223,3957,96,236081,117,4097,5277,2472,
OKLAHOMA,2003,4845,37779,298,3227,3102,3021,20942,23013,24795,597,365,1121,3317,11,13307,3029,1277,159,1111,10215,3511532,18109,346,678,3181,786,2091,0,166495,0,1567,6047,2315,
OREGON,2003,1979,18222,325,2890,2083,6271,13508,13766,0,65,261,1754,1200,3,15898,13063,2171,95,505,10758,3252321,21284,116,783,2294,1224,440,0,115141,0,4031,3118,1436,
PENNSYLVANIA,2003,13948,47212,672,9587,26065,53634,39384,47438,19812,281,1244,3404,11994,231,34704,25939,5776,504,972,43206,12443061,50739,2685,6207,2642,3069,3247,0,421100,446,12660,21903,4137,
RHODE ISLAND,2003,913,15734,76,769,41,3305,2023,4621,69,163,134,203,1210,23,3397,1038,276,14,217,6018,1076164,4518,275,307,210,129,472,45,43914,8,1660,1368,564,
SOUTH CAROLINA,2003,234,3324,6,159,4,1524,3929,981,1159,24,18,158,1900,13,458,2195,34,8,86,741,4535689,657,13,34,19,43,137,0,17583,25,183,294,174,
SOUTH DAKOTA,2003,415,8479,23,430,283,1640,5357,2788,440,38,59,138,1056,3,2482,6951,103,8,340,2653,758233,3038,0,28,558,183,141,0,35298,12,533,510,157,
TENNESSEE,2003,9700,67974,238,4793,1651,10095,24688,29368,18317,461,294,2806,10125,247,22601,6705,2412,302,1150,26117,5892622,30044,1739,1617,2805,659,799,0,253709,33,3312,11913,2701,
TEXAS,2003,21062,279937,790,17862,10564,35628,87023,106273,119851,647,2189,8267,16120,411,89257,25194,8192,811,4696,92840,20875272,116101,4794,6371,15339,4425,827,0,982963,507,11742,30433,11344,
UTAH,2003,1121,28908,148,1350,1316,5564,5944,7582,4797,17,158,968,904,0,12362,10214,617,48,1196,8109,1690633,14477,241,313,816,726,802,0,98509,13,2978,1640,1297,
VERMONT,2003,196,2324,23,209,1,619,2619,1235,1,24,48,106,330,0,628,703,61,7,297,1079,678344,921,4,1,0,28,117,0,10951,0,282,252,9,
VIRGINIA,2003,3263,69115,264,3018,1765,4488,18819,20137,17524,1096,305,2008,7184,28,16355,6044,1181,190,766,26915,6526389,20818,392,1108,3425,790,737,0,213059,75,3315,4866,2752,
WASHINGTON,2003,4623,51701,377,5079,17,4619,36802,22544,14,124,795,2269,1335,3,24934,12701,1892,96,339,28578,5540101,32282,571,1259,2273,1198,3913,18,216720,107,6025,6773,2514,
WEST VIRGINIA,2003,680,4704,26,387,12,209,3670,2060,654,38,20,211,455,1,1512,1065,170,20,62,2955,813665,2095,10,58,38,87,128,0,19879,0,469,778,178,
WISCONSIN,2003,3358,79458,232,3764,4785,47538,29060,18676,195,227,491,1786,8402,32,24676,36039,1818,85,1906,12013,5165478,30490,120,686,3758,2782,1294,148,294493,270,8350,4620,2544,
WYOMING,2003,470,11686,32,314,358,1128,4169,2579,1388,4,28,115,192,3,2042,4223,115,11,249,2564,475963,2503,2,34,191,112,109,80,32907,11,581,543,117,
ALABAMA,2002,12002,,,42578,,,,,,,1664,,,,123932,,13890,303,,,4486508,180400,,5962,,,,,200331,,,19931,,
ALASKA,2002,2594,,,3908,,,,,,,511,,,,17739,,2471,33,,,643786,24118,,489,,,,,27745,,,3627,,
ARIZONA,2002,20176,,,59087,,,,,,,1608,,,,201541,,57668,387,,,5456453,318296,,8000,,,,,348467,,,30171,,
ARKANSAS,2002,8081,,,23229,,,,,,,754,,,,71129,,6813,142,,,2710079,101171,,2524,,,,,112672,,,11501,,
CALIFORNIA,2002,130827,,,238428,,,,,,,10198,,,,715692,,222364,2395,,,35116033,1176484,,64968,,,,,1384872,,,208388,,
COLORADO,2002,10058,,,31678,,,,,,,2066,,,,125193,,23183,179,,,4506542,180054,,3579,,,,,195936,,,15882,,
CONNECTICUT,2002,5897,,,17088,,,,,,,730,,,,64292,,11572,80,,,3460503,92952,,4060,,,,,103719,,,10767,,
DELAWARE,2002,3298,,,5355,,,,,,,358,,,,18555,,3057,26,,,807385,26967,,1154,,,,,31803,,,4836,,
DISTRICT OF COLUMBIA ,2002,4962,,,5170,,,,,,,262,,,,21708,,9599,264,,,570898,36477,,3834,,,,,45799,,,9322,,
FLORIDA,2002,88476,,,177242,,,,,,,6753,,,,511478,,88516,911,,,16713149,777236,,32581,,,,,905957,,,128721,,
GEORGIA,2002,23125,,,73932,,,,,,,2108,,,,234591,,38036,606,,,8560310,346559,,13432,,,,,385830,,,39271,,
HAWAII,2002,1656,,,12722,,,,,,,372,,,,49344,,9910,24,,,1244898,71976,,1210,,,,,75238,,,3262,,
IDAHO,2002,2646,,,7441,,,,,,,497,,,,29060,,2627,36,,,1341131,39128,,240,,,,,42547,,,3419,,
ILLINOIS ,2002,47695,,,81123,,,,,,,4298,,,,301892,,44857,949,,,12600620,427872,,25272,,,,,506086,,,78214,,
INDIANA,2002,13184,,,42605,,,,,,,1843,,,,146073,,20287,362,,,6159068,208965,,6612,,,,,230966,,,22001,,
IOWA,2002,6378,,,18643,,,,,,,797,,,,68411,,5823,44,,,2936760,92877,,1169,,,,,101265,,,8388,,
KANSAS,2002,6951,,,19679,,,,,,,1035,,,,73877,,7212,78,,,2715884,100768,,2165,,,,,110997,,,10229,,
KENTUCKY ,2002,7083,,,27855,,,,,,,1088,,,,70776,,8750,184,,,4092891,107381,,3063,,,,,118799,,,11418,,
LOUISIANA,2002,20445,,,45350,,,,,,,1529,,,,133302,,20186,593,,,4482646,198838,,7123,,,,,228528,,,29690,,
MAINE,2002,735,,,6965,,,,,,,377,,,,24591,,1429,14,,,1294464,32985,,270,,,,,34381,,,1396,,
MARYLAND,2002,26715,,,39765,,,,,,,1370,,,,143320,,34020,513,,,5458137,217105,,13417,,,,,259120,,,42015,,
MASSACHUSETTS,2002,22018,,,33243,,,,,,,1777,,,,107922,,26588,173,,,6427801,167753,,7169,,,,,198890,,,31137,,
MICHIGAN,2002,36417,,,70970,,,,,,,5364,,,,214367,,49723,678,,,10050446,335060,,11847,,,,,389366,,,54306,,
MINNESOTA,2002,7106,,,28034,,,,,,,2273,,,,122150,,13842,112,,,5019720,164026,,3937,,,,,177454,,,13428,,
MISSISSIPPI,2002,5111,,,29593,,,,,,,1127,,,,70468,,9523,264,,,2871782,109584,,3356,,,,,119442,,,9858,,
MISSOURI,2002,21737,,,42721,,,,,,,1465,,,,159921,,27878,331,,,5672579,230520,,7024,,,,,261077,,,30557,,
MONTANA,2002,2661,,,3289,,,,,,,237,,,,23679,,1783,16,,,909453,28751,,283,,,,,31948,,,3197,,
NEBRASKA,2002,3557,,,10329,,,,,,,464,,,,51440,,6409,48,,,1729180,68178,,1359,,,,,73606,,,5428,,
NEVADA,2002,7629,,,18951,,,,,,,928,,,,47459,,17486,181,,,2173491,83896,,5118,,,,,97752,,,13856,,
NEW HAMPSHIRE,2002,1185,,,4838,,,,,,,446,,,,19468,,1944,12,,,1275056,26250,,413,,,,,28306,,,2056,,
NEW JERSEY,2002,16579,,,43898,,,,,,,1347,,,,147984,,35739,337,,,8590300,227621,,13905,,,,,259789,,,32168,,
NEW MEXICO,2002,10334,,,19634,,,,,,,1027,,,,53406,,7437,152,,,1855059,80477,,2206,,,,,94196,,,13719,,
NEW YORK,2002,53583,,,76700,,,,,,,3885,,,,318025,,47366,909,,,19157532,442091,,36653,,,,,537121,,,95030,,
NORTH CAROLINA,2002,24169,,,99535,,,,,,,2196,,,,229307,,24866,548,,,8320146,353708,,12205,,,,,392826,,,39118,,
NORTH DAKOTA,2002,270,,,2243,,,,,,,163,,,,11501,,1018,5,,,634110,14762,,58,,,,,15258,,,496,,
OHIO,2002,16922,,,99164,,,,,,,4809,,,,287045,,42767,526,,,11421267,428976,,17871,,,,,469104,,,40128,,
OKLAHOMA,2002,12885,,,35171,,,,,,,1573,,,,100185,,12772,163,,,3493714,148128,,2966,,,,,165715,,,17587,,
OREGON,2002,6246,,,25696,,,,,,,1238,,,,118925,,16524,72,,,3521515,161145,,2742,,,,,171443,,,10298,,
PENNSYLVANIA,2002,28060,,,55610,,,,,,,3731,,,,212441,,32817,624,,,12335091,300868,,17163,,,,,350446,,,49578,,
PUERTO RICO,2002,3478,,,24737,,,,,,,241,,,,39640,,12935,774,,,3858806,77312,,8978,,,,,90783,,,13471,,
RHODE ISLAND,2002,1699,,,6415,,,,,,,395,,,,24051,,4876,41,,,1069725,35342,,916,,,,,38393,,,3051,,
SOUTH CAROLINA,2002,25730,,,43745,,,,,,,1959,,,,123196,,16867,298,,,4107183,183808,,5774,,,,,217569,,,33761,,
SOUTH DAKOTA,2002,861,,,3034,,,,,,,361,,,,12139,,819,11,,,761063,15992,,117,,,,,17342,,,1350,,
TENNESSEE,2002,29439,,,61248,,,,,,,2290,,,,161610,,26541,420,,,5797289,249399,,9413,,,,,290961,,,41562,,
TEXAS,2002,78628,,,212602,,,,,,,8508,,,,688992,,102680,1302,,,21779893,1004274,,37580,,,,,1130292,,,126018,,
UTAH,2002,3358,,,15124,,,,,,,943,,,,74795,,7722,47,,,2316256,97641,,1140,,,,,103129,,,5488,,
VERMONT,2002,442,,,3489,,,,,,,126,,,,10684,,769,13,,,616592,14942,,77,,,,,15600,,,658,,
VIRGINIA,2002,12068,,,31757,,,,,,,1839,,,,157548,,18478,388,,,7293542,207783,,6961,,,,,229039,,,21256,,
WASHINGTON,2002,12249,,,54948,,,,,,,2734,,,,193526,,40493,184,,,6068996,288967,,5797,,,,,309931,,,20964,,
WEST VIRGINIA,2002,3179,,,9677,,,,,,,328,,,,27524,,3898,57,,,1801873,41099,,657,,,,,45320,,,4221,,
WISCONSIN,2002,6134,,,27926,,,,,,,1237,,,,123365,,13458,154,,,5441196,164749,,4713,,,,,176987,,,12238,,
WYOMING,2002,1108,,,2448,,,,,,,148,,,,13303,,743,15,,,498703,16494,,93,,,,,17858,,,1364,,
ALABAMA,2001,12250,,,40642,,,,,,,1369,,,,119992,,12619,379,,,4464356,173253,,5584,,,,,192835,,,19582,,
ALASKA,2001,2681,,,3847,,,,,,,501,,,,16695,,2618,39,,,634892,23160,,514,,,,,26895,,,3735,,
ARIZONA,2001,17889,,,54821,,,,,,,1518,,,,186850,,52203,400,,,5307331,293874,,8868,,,,,322549,,,28675,,
ARKANSAS,2001,8969,,,22196,,,,,,,892,,,,69590,,7320,148,,,2692090,99106,,2181,,,,,111296,,,12190,,
CALIFORNIA,2001,136143,,,232000,,,,,,,9961,,,,697669,,204033,2206,,,34501130,1133702,,64545,,,,,1346557,,,212855,,
COLORADO,2001,9849,,,28533,,,,,,,1930,,,,121360,,20994,158,,,4417714,170887,,3555,,,,,186379,,,15492,,
CONNECTICUT,2001,6565,,,17159,,,,,,,639,,,,65762,,12378,105,,,3425074,95299,,4183,,,,,106791,,,11492,,
DELAWARE,2001,3269,,,5144,,,,,,,420,,,,19476,,2779,23,,,796165,27399,,1156,,,,,32267,,,4868,,
DISTRICT OF COLUMBIA ,2001,5568,,,5011,,,,,,,188,,,,21473,,7670,232,,,571822,34154,,3943,,,,,44085,,,9931,,
FLORIDA,2001,90331,,,176052,,,,,,,6641,,,,516548,,89917,874,,,16396515,782517,,32867,,,,,913230,,,130713,,
GEORGIA,2001,24491,,,71799,,,,,,,2180,,,,238484,,37589,598,,,8383915,347872,,14402,,,,,389543,,,41671,,
HAWAII,2001,1534,,,11162,,,,,,,409,,,,44925,,6743,32,,,1224398,62830,,1142,,,,,65947,,,3117,,
IDAHO,2001,2511,,,7507,,,,,,,425,,,,28285,,2389,30,,,1321006,38181,,245,,,,,41392,,,3211,,
ILLINOIS ,2001,49713,,,78844,,,,,,,3938,,,,304362,,48784,986,,,12482301,431990,,24867,,,,,511494,,,79504,,
INDIANA,2001,13434,,,42758,,,,,,,1716,,,,147291,,21499,413,,,6114745,211548,,7171,,,,,234282,,,22734,,
IOWA,2001,6012,,,16885,,,,,,,649,,,,66244,,5505,50,,,2923179,88634,,1154,,,,,96499,,,7865,,
KANSAS,2001,7449,,,20514,,,,,,,945,,,,77038,,7985,92,,,2694641,105537,,2423,,,,,116446,,,10909,,
KENTUCKY ,2001,5845,,,26505,,,,,,,1132,,,,73152,,9344,191,,,4065556,109001,,3280,,,,,119449,,,10448,,
LOUISIANA,2001,20910,,,46451,,,,,,,1403,,,,139555,,21687,501,,,4465430,207693,,7864,,,,,238371,,,30678,,
MAINE,2001,826,,,6898,,,,,,,326,,,,24585,,1671,18,,,1286670,33154,,264,,,,,34588,,,1434,,
MARYLAND,2001,26668,,,41553,,,,,,,1449,,,,145934,,32025,446,,,5375156,219512,,13525,,,,,261600,,,42088,,
MASSACHUSETTS,2001,22110,,,32430,,,,,,,1856,,,,106821,,27828,145,,,6379304,167079,,6476,,,,,197666,,,30587,,
MICHIGAN,2001,36551,,,72038,,,,,,,5264,,,,226708,,53607,672,,,9990817,352353,,12937,,,,,407777,,,55424,,
MINNESOTA,2001,7032,,,25496,,,,,,,2236,,,,124519,,15031,119,,,4972294,165046,,3758,,,,,178191,,,13145,,
MISSISSIPPI,2001,5283,,,29821,,,,,,,1147,,,,70315,,9473,282,,,2858029,109609,,3294,,,,,119615,,,10006,,
MISSOURI,2001,20946,,,42977,,,,,,,1383,,,,167420,,28014,372,,,5629707,238411,,7771,,,,,268883,,,30472,,
MONTANA,2001,2735,,,3670,,,,,,,188,,,,24684,,1821,34,,,904433,30175,,230,,,,,33362,,,3187,,
NEBRASKA,2001,3612,,,9760,,,,,,,431,,,,52713,,6490,43,,,1713235,68963,,1128,,,,,74177,,,5214,,
NEVADA,2001,6364,,,17711,,,,,,,883,,,,45073,,14702,180,,,2106074,77486,,4932,,,,,89845,,,12359,,
NEW HAMPSHIRE,2001,1224,,,4889,,,,,,,458,,,,20060,,2140,17,,,1259181,27089,,445,,,,,29233,,,2144,,
NEW JERSEY,2001,17370,,,46812,,,,,,,1278,,,,156031,,37708,336,,,8484431,240551,,14110,,,,,273645,,,33094,,
NEW MEXICO,2001,10644,,,19552,,,,,,,850,,,,56406,,7137,99,,,1829146,83095,,2695,,,,,97383,,,14288,,
NEW YORK,2001,57042,,,80400,,,,,,,3546,,,,329316,,48287,960,,,19011378,458003,,36555,,,,,556106,,,98103,,
NORTH CAROLINA,2001,24573,,,101889,,,,,,,2083,,,,237241,,24647,505,,,8186268,363777,,13304,,,,,404242,,,40465,,
NORTH DAKOTA,2001,274,,,2165,,,,,,,164,,,,11583,,1086,7,,,634448,14834,,60,,,,,15339,,,505,,
OHIO,2001,17906,,,96910,,,,,,,4466,,,,295976,,42229,452,,,11373541,435115,,17199,,,,,475138,,,40023,,
OKLAHOMA,2001,13309,,,34573,,,,,,,1486,,,,94537,,12569,185,,,3460097,141679,,2746,,,,,159405,,,17726,,
OREGON,2001,6643,,,26648,,,,,,,1174,,,,123034,,14842,84,,,3472867,164524,,2749,,,,,175174,,,10650,,
PENNSYLVANIA,2001,28814,,,54345,,,,,,,3467,,,,223350,,35713,651,,,12287150,313408,,17500,,,,,363840,,,50432,,
PUERTO RICO,2001,2473,,,19931,,,,,,,187,,,,26140,,12643,744,,,3839810,58714,,7999,,,,,70117,,,11403,,
RHODE ISLAND,2001,1837,,,6824,,,,,,,416,,,,23875,,5043,39,,,1058920,35742,,986,,,,,39020,,,3278,,
SOUTH CAROLINA,2001,22320,,,36831,,,,,,,1380,,,,112247,,14760,255,,,4063011,163838,,5310,,,,,193103,,,29265,,
SOUTH DAKOTA,2001,710,,,3087,,,,,,,351,,,,12571,,815,7,,,756600,16473,,103,,,,,17644,,,1171,,
TENNESSEE,2001,29938,,,59705,,,,,,,2196,,,,165015,,28272,425,,,5740021,252992,,10219,,,,,295770,,,42778,,
TEXAS,2001,77306,,,204362,,,,,,,8169,,,,669625,,102667,1332,,,21325018,976654,,35348,,,,,1098809,,,122155,,
UTAH,2001,3154,,,13804,,,,,,,896,,,,70676,,6513,67,,,2269789,90993,,1197,,,,,96307,,,5314,,
VERMONT,2001,423,,,3150,,,,,,,107,,,,12426,,758,7,,,613090,16334,,107,,,,,16978,,,644,,
VIRGINIA,2001,11945,,,31604,,,,,,,1770,,,,157060,,18842,364,,,7187734,207506,,6860,,,,,228445,,,20939,,
WASHINGTON,2001,12545,,,53024,,,,,,,2600,,,,195133,,39077,179,,,5987973,287234,,5934,,,,,308492,,,21258,,
WEST VIRGINIA,2001,3968,,,9601,,,,,,,320,,,,28268,,3216,40,,,1801916,41085,,707,,,,,46120,,,5035,,
WISCONSIN,2001,6708,,,26927,,,,,,,1142,,,,125275,,14722,192,,,5401906,166924,,4444,,,,,179410,,,12486,,
WYOMING,2001,1026,,,2481,,,,,,,153,,,,12943,,696,9,,,494423,16120,,84,,,,,17392,,,1272,,
ALABAMA,2000,14107,,,40331,,,,,,,1482,,,,127399,,12809,329,,,4447100,180539,,5702,,,,,202159,,,21620,,
ALASKA,2000,2540,,,3899,,,,,,,497,,,,16838,,2350,27,,,626932,23087,,490,,,,,26641,,,3554,,
ARIZONA,2000,17841,,,51902,,,,,,,1577,,,,176705,,43204,359,,,5130632,271811,,7504,,,,,299092,,,27281,,
ARKANSAS,2000,8887,,,21443,,,,,,,848,,,,69740,,6932,168,,,2673400,98115,,2001,,,,,110019,,,11904,,
CALIFORNIA,2000,138418,,,222293,,,,,,,9785,,,,651855,,182035,2079,,,33871648,1056183,,60249,,,,,1266714,,,210531,,
COLORADO,2000,9425,,,27133,,,,,,,1774,,,,112843,,16961,134,,,4301261,156937,,3034,,,,,171304,,,14367,,
CONNECTICUT,2000,6450,,,17436,,,,,,,678,,,,68498,,13099,98,,,3405565, ,,3832,,,,,,,,11058,,
DELAWARE,2000,3520,,,5216,,,,,,,424,,,,21360,,3151,25,,,783600,29727,,1394,,,,,35090,,,5363,,
DISTRICT OF COLUMBIA,2000,4582,,,4745,,,,,,,251,,,,21655,,6600,239,,,572059,33000,,3554,,,,,41626,,,8626,,
FLORIDA,2000,90008,,,172898,,,,,,,7057,,,,518298,,89181,903,,,15982378,780377,,31809,,,,,910154,,,129777,,
GEORGIA,2000,25450,,,68488,,,,,,,1968,,,,240440,,38702,651,,,8186453,347630,,13250,,,,,388949,,,41319,,
HAWAII,2000,1450,,,10665,,,,,,,346,,,,43254,,6114,35,,,1211537,60033,,1123,,,,,62987,,,2954,,
IDAHO,2000,2644,,,7330,,,,,,,384,,,,28545,,2086,16,,,1293953,37961,,223,,,,,41228,,,3267,,
ILLINOIS,2000,50828,,,81913,,,,,,,4090,,,,312692,,56143,891,,,12419293,450748,,25758,,,,,532315,,,81567,,
INDIANA,2000,12837,,,41108,,,,,,,1759,,,,144707,,21090,352,,,6080485,206905,,6282,,,,,228135,,,21230,,
IOWA,2000,6003,,,16342,,,,,,,676,,,,65118,,5374,46,,,2926324,86834,,1071,,,,,94630,,,7796,,
KANSAS,2000,7231,,,21484,,,,,,,1022,,,,80077,,6496,169,,,2688418,108057,,2048,,,,,118527,,,10470,,
KENTUCKY,2000,7363,,,25308,,,,,,,1091,,,,73141,,9274,193,,,4041769,107723,,3256,,,,,119626,,,11903,,
LOUISIANA,2000,20851,,,46289,,,,,,,1497,,,,144345,,21270,560,,,4468976,211904,,7532,,,,,242344,,,30440,,
MAINE,2000,815,,,6775,,,,,,,320,,,,23906,,1322,15,,,1274923,32003,,247,,,,,33400,,,1397,,
MARYLAND,2000,26130,,,39426,,,,,,,1543,,,,145423,,28573,430,,,5296486,213422,,13560,,,,,255085,,,41663,,
MASSACHUSETTS,2000,22594,,,30600,,,,,,,1696,,,,105425,,25876,125,,,6349097,161901,,5815,,,,,192131,,,30230,,
MICHIGAN,2000,35753,,,69790,,,,,,,5025,,,,227783,,55724,669,,,9938444,353297,,13712,,,,,408456,,,55159,,
MINNESOTA ,2000,7709,,,26116,,,,,,,2240,,,,118250,,13432,151,,,4919479,157798,,3713,,,,,171611,,,13813,,
MISSISSIPPI,2000,6290,,,26918,,,,,,,1019,,,,69758,,6968,255,,,2844658,103644,,2703,,,,,113911,,,10267,,
MISSOURI,2000,18123,,,41685,,,,,,,1351,,,,159539,,24695,347,,,5595211,225919,,7598,,,,,253338,,,27419,,
MONTANA,2000,1605,,,3946,,,,,,,301,,,,23805,,1956,16,,,902195,29707,,249,,,,,31878,,,2171,,
NEBRASKA,2000,3960,,,10131,,,,,,,436,,,,49118,,5230,63,,,1711263,64479,,1147,,,,,70085,,,5606,,
NEVADA,2000,4942,,,17526,,,,,,,860,,,,44125,,13172,129,,,1998257,74823,,4543,,,,,85297,,,10474,,
NEW HAMPSHIRE,2000,1170,,,4992,,,,,,,522,,,,20761,,2148,22,,,1235786,27901,,453,,,,,30068,,,2167,,
NEW JERSEY,2000,17099,,,43924,,,,,,,1357,,,,155562,,34151,289,,,8414350,233637,,13553,,,,,265935,,,32298,,
NEW MEXICO,2000,10230,,,21339,,,,,,,922,,,,57925,,7341,135,,,1819046,86605,,2499,,,,,100391,,,13786,,
NEW YORK,2000,60090,,,87946,,,,,,,3530,,,,340901,,54231,952,,,18976457,483078,,40539,,,,,588189,,,105111,,
NORTH CAROLINA,2000,24715,,,97888,,,,,,,2181,,,,232767,,25266,560,,,8049313,355921,,12595,,,,,395972,,,40051,,
NORTH DAKOTA,2000,294,,,2093,,,,,,,169,,,,11092,,986,4,,,642200,14171,,56,,,,,14694,,,523,,
OHIO,2000,17636,,,88636,,,,,,,4271,,,,293277,,39026,418,,,11353140,420939,,15610,,,,,458874,,,37935,,
OKLAHOMA,2000,12958,,,31661,,,,,,,1422,,,,96116,,12348,182,,,3450654,140125,,2615,,,,,157302,,,17177,,
OREGON,2000,7756,,,25618,,,,,,,1286,,,,114230,,13932,70,,,3421399,153780,,2888,,,,,165780,,,12000,,
PENNSYLVANIA,2000,29580,,,54080,,,,,,,3247,,,,225869,,36325,602,,,12281054,316274,,18155,,,,,367858,,,51584,,
PUERTO RICO,2000,2726,,,21057,,,,,,,228,,,,28940,,12976,693,,,3808610,62973,,8757,,,,,75377,,,12404,,
RHODE ISLAND,2000,1742,,,6620,,,,,,,412,,,,22038,,4665,45,,,1048319,33323,,922,,,,,36444,,,3121,,
SOUTH CAROLINA,2000,24666,,,38888,,,,,,,1511,,,,123094,,15207,233,,,4012012,177189,,5883,,,,,209482,,,32293,,
SOUTH DAKOTA,2000,816,,,2896,,,,,,,305,,,,12558,,798,7,,,754844,16252,,131,,,,,17511,,,1259,,
TENNESSEE,2000,28172,,,56344,,,,,,,2186,,,,154111,,27530,410,,,5689283,237985,,9465,,,,,278218,,,40233,,0.0489
TEXAS,2000,74302,,,188975,,,,,,,7856,,,,637522,,93161,1238,,,20851820,919658,,30257,,,,,1033311,,,113653,,
UTAH,2000,3563,,,14348,,,,,,,863,,,,73438,,6461,43,,,2233169,94247,,1242,,,,,99958,,,5711,,
VERMONT,2000,425,,,3501,,,,,,,140,,,,13184,,809,9,,,608827,17494,,117,,,,,18185,,,691,,
VIRGINIA,2000,11631,,,30434,,,,,,,1616,,,,146158,,17813,401,,,7078515,194405,,6295,,,,,214348,,,19943,,
WASHINGTON,2000,13043,,,53476,,,,,,,2737,,,,190650,,35018,196,,,5894121,279144,,5812,,,,,300932,,,21788,,
WEST VIRGINIA,2000,4597,,,9890,,,,,,,331,,,,28139,,3315,46,,,1808344,41344,,749,,,,,47067,,,5723,,
WISCONSIN,2000,6829,,,25183,,,,,,,1165,,,,119605,,14636,169,,,5363675,159424,,4537,,,,,172124,,,12700,,
WYOMING,2000,1074,,,2078,,,,,,,160,,,,12318,,573,12,,,493782,14969,,70,,,,,16285,,,1316,,