Unnamed: 0,Unnamed: 2,1981,Unnamed: 6,1982,Unnamed: 10,1983,Unnamed: 14,1984,Unnamed: 18,Unnamed: 19,1985,Unnamed: 22,1986,Unnamed: 26,1987,Unnamed: 30,1988,Unnamed: 34,1989,Unnamed: 38,Unnamed: 40,1990,Unnamed: 44,1991,Unnamed: 48,1992,Unnamed: 52,1993,Unnamed: 56,1994,Unnamed: 60,Unnamed: 62,1995,Unnamed: 65,1996,Unnamed: 69,1997,Unnamed: 73,1998,Unnamed: 77,Unnamed: 79,1999,Unnamed: 83,2000,Unnamed: 87,2001,Unnamed: 91,2002,Unnamed: 95,Unnamed: 97,2003,Unnamed: 100,2004,Unnamed: 104,2005,Unnamed: 108,2006,Unnamed: 112,2007,Unnamed: 116,Unnamed: 118,2008,Unnamed: 121,2009,Unnamed: 125,Unnamed: 127,2010,Unnamed: 131,2011,Unnamed: 135,Unnamed: 137,2012,Unnamed: 140,2013,Unnamed: 144,2014,Unnamed: 148,2015,Unnamed: 152,Unnamed: 154,2016,Unnamed: 156,2017,Unnamed: 158,2018
  Federal Direct Student Loan Program,0,0,0,0,0,0,0,0,0,  Federal Direct Student Loan Program,0,0,0,0,0,0,0,0,0,0,  Federal Direct Student Loan Program,0,0,0,0,0,0,0,0,55726,55726,  Federal Direct Student Loan Program,821656,821656,243720,243720,272047,272047,390244,390244,  Federal Direct Student Loan Program,-720178,-720178,-3510936,-3510936,-557786,-557786,-721929,-721929,  Federal Direct Student Loan Program,4224527,4224527,2457222,2457222,636994,636994,-669425,6934099,597778,5176323,  Federal Direct Student Loan Program,509249,5532290,328670,1385617,0,0,3481859,0,2781709,  Federal Direct Student Loan Program,0,0,0,3273880,-251958,16254117,7243186,23660742,  Federal Direct Student Loan Program,0,9878116,0,37028295,0
  Federal Family Education Loans,1609344,2535470,2535470,3073846,3073846,3100500,3100500,2256500,2256500,  Federal Family Education Loans,3799823,3799823,3265941,3265941,2717000,2717000,2565000,2565000,4284695,4284695,  Federal Family Education Loans,5206552,5206552,5406152,5406152,7551761,7551761,6894137,6894137,93495,93495,  Federal Family Education Loans,4499235,4499235,4699001,4699001,4034415,4034415,2605422,2605422,  Federal Family Education Loans,2782252,2782252,3350281,3350281,-2723313,-2723313,3783864,3783864,  Federal Family Education Loans,2676002,2676002,5800996,5800996,10909060,10909060,5843723,27817538,5888536,5667782,  Federal Family Education Loans,3178903,3918407,1874168,321907,0,-527756,4274364,0,177001,  Federal Family Education Loans,283031,-361794,0,3098746,0,2269320,0,1362692,  Federal Family Education Loans,0,1446784,0,11155845,0
  Aid for Institutional Development,115000,125000,125000,134000,147283,132887,139216,139216,139216,  Aid for Institutional Development,139216,146208,146208,139921,146208,152208,55741,157636,142349,179884,  Aid for Institutional Development,196001,201586,220523,210688,210936,213042,223042,209224,214715,218762,  Aid for Institutional Development,225697,223495,176450,189301,176450,189301,195326,204200,  Aid for Institutional Development,232000,239750,259825,258500,294500,332500,347500,361125,  Aid for Institutional Development,373818,388869,385248,399961,418765,421476,418464,419630,417045,419630,  Aid for Institutional Development,402845,571458,451721,588909,0,465530,651268,520030,614341,  Aid for Institutional Development,651268,597599,597599,566560,597599,577354,577842,573447,  Aid for Institutional Development,584762,579662,579662,587162,492193
  Federal TRIO Programs,0,0,0,0,0,0,0,0,0,  Federal TRIO Programs,0,0,0,0,0,0,0,0,0,0,  Federal TRIO Programs,0,0,0,0,0,0,0,0,398525,418525,  Federal TRIO Programs,436293,463000,463000,462993,500000,499994,525000,529667,  Federal TRIO Programs,583000,600000,630000,645000,725000,730000,780000,802500,  Federal TRIO Programs,802500,827089,802500,832559,832559,836543,369390,828178,380100,828178,  Federal TRIO Programs,828178,828178,828178,848089,0,848089,853089,910089,883522,  Federal TRIO Programs,920089,839932,839932,795998,839932,838252,838252,839752,  Federal TRIO Programs,859752,900000,900000,950000,808289
  Scholarships and Fellowships,12850,11000,12000,8640,10560,0,11920,0,13500,  Scholarships and Fellowships,0,16750,0,25601,0,42450,8000,58736,33016,66690,  Scholarships and Fellowships,51033,70096,84519,84295,99359,104895,114442,105221,120954,107367,  Scholarships and Fellowships,107594,80280,69101,65408,189117,65717,201288,72888,  Scholarships and Fellowships,39288,70288,80859,90859,82001,82001,82001,82001,  Scholarships and Fellowships,82001,81467,82001,81250,81250,80840,40168,80356,39766,80356,  Scholarships and Fellowships,39861,79356,42361,81359,0,81359,82717,40717,39052,  Scholarships and Fellowships,40717,30909,30909,29293,30909,29293,29293,29293,  Scholarships and Fellowships,29293,29293,29293,28047,5775
  Howard University,121893,133983,133983,145200,145200,145200,145200,159720,156200,  Howard University,158230,158230,151230,157168,157170,170230,170230,172203,176147,178973,  Howard University,184904,182446,185446,195213,190932,212360,197250,194005,192686,192686,  Howard University,192896,204663,195963,182348,195963,196000,196000,210000,  Howard University,210000,214489,219444,219444,224000,232474,232474,237474,  Howard University,237474,238440,237474,238763,238763,238789,238789,237392,237392,237392,  Howard University,233866,233244,233245,234977,0,234977,234977,234977,234507,  Howard University,234977,234064,234064,221821,234064,221821,221821,221821,  Howard University,221821,221821,221821,221821,221399
  General Fund Receipts,,,,,,,,,,  General Fund Receipts,,,,,,,,,,,  General Fund Receipts,,,,,,,,,,,  General Fund Receipts,,,,,,,,,  General Fund Receipts,,,,,,,,,  General Fund Receipts,,,,,,,,,,,  General Fund Receipts,,,,,,,,,,  General Fund Receipts,,,,,,,,-12550539,  General Fund Receipts,-11168148,-10657563,-7053610,-12521482,-8527519
  Other,408591,389057,403076,365749,410250,209718,403496,147302,415695,  Other,186305,478640,145934,385075,283992,460907,727711,428787,360194,465300,  Other,387138,485576,446550,623068,729633,668010,685753,543265,243653,323139,  Other,199064,260028,236619,220338,134676,202688,234901,280305,  Other,335388,352665,675921,649251,823147,916224,644922,941866,  Other,707620,944411,715979,926659,738237,943530,583773,398685,-279401,-4045179,  Other,-2593567,-4766703,-2108267,-29265060,160000,-10446998,-25761213,-8067973,-47433659,  Other,-23304441,-48618782,-32520412,-47866425,-28543079,-39452602,-8949129,647320,  Other,2724297,160135,-8443851,777812,226566
"  Total, Postsecondary",5645806,7135310,6934329,6870875,7282939,5388305,7358132,6220538,6891971,"  Total, Postsecondary",7937574,9684133,7278313,8723833,6979370,8944795,6262682,8850084,11045998,10913033,"  Total, Postsecondary",12372588,12159458,12680605,13165889,15319467,15600923,15582426,15788397,10836085,9419346,"  Total, Postsecondary",14314535,14075117,14063272,12289881,12862075,12970569,13611588,13246660,"  Total, Postsecondary",12704750,12862266,10863394,11037116,9085549,9630100,16766832,18704401,"  Total, Postsecondary",21870442,22676318,24999920,24678534,28554250,28267338,26546680,55877866,21771273,23841951,"  Total, Postsecondary",19018827,24454514,21571627,-4621081,17474000,21047217,8349834,30253797,685174,"  Total, Postsecondary",21719657,-4165607,7161373,-2561005,4636748,11326765,30844475,44151090,"  Total, Postsecondary",23910383,32034744,29088911,70656050,23358600
             Discretionary,4044364,4607388,4406407,3776059,4188123,2295365,4265192,3967576,4639009,             Discretionary,4142536,5889095,4061277,5506797,4323433,6288858,3778341,6365743,6822433,6689468,             Discretionary,7237786,7024656,7339571,7824855,7814825,8096281,8867552,9073523,10731879,9315140,             Discretionary,9077930,8838512,9175599,7402208,8654131,8762625,10615922,10250994,             Discretionary,10834676,10992192,11098795,11270671,12425009,12969560,13787267,15724836,             Discretionary,14260987,15861863,16033639,16507253,16289078,16797166,15881642,17003550,14499751,17052433,             Discretionary,15540165,18338520,19245939,20981921,16000000,4614799,22280978,5249882,28212940,             Discretionary,34258369,26788749,26785761,26388979,27054719,26653304,26787976,26364735,             Discretionary,26511962,26423135,26630187,26692624,24765480
             Mandatory,1601442,2527922,2527922,3094816,3094816,3092940,3092940,2252962,2252962,             Mandatory,3795038,3795038,3217036,3217036,2655937,2655937,2484341,2484341,4223565,4223565,             Mandatory,5134802,5134802,5341034,5341034,7504642,7504642,6714874,6714874,104206,104206,             Mandatory,5236605,5236605,4887673,4887673,4207944,4207944,2995666,2995666,             Mandatory,1870074,1870074,-235401,-233555,-3339460,-3339460,2979565,2979565,             Mandatory,7609455,6814455,8966281,8171281,12265172,11470172,10665038,38874316,7271522,6789518,             Mandatory,3478662,6115994,2325688,-25603002,1474000,16432418,-13931144,25003915,-27527766,             Mandatory,-12538712,-30954356,-19624388,-28949984,-22417971,-15326539,4056499,17786355,             Mandatory,-2601579,5611609,2458724,43963426,-1406880
Other:,,,,,,,,,,Other:,,,,,,,,,,,Other:,,,,,,,,,,,Other:,,,,,,,,,Other:,,,,,,,,,Other:,,,,,,,,,,,Other:,,,,,,,,,,Other:,,,,,,,,,Other:,,,,,
  Rehabilitation Services and Disability Research,932620,943552,953749,861000,952171,650000,1045347,1031727,1155100,  Rehabilitation Services and Disability Research,1091660,1234015,1216400,1309761,1225400,1484758,1401123,1590400,1616435,1673220,  Rehabilitation Services and Disability Research,1735161,1780212,1839073,1889288,2003380,2077158,2138263,2182699,2251028,2296936,  Rehabilitation Services and Disability Research,2361458,2393352,2456937,2456092,2512587,2509428,2583376,2591195,  Rehabilitation Services and Disability Research,2645266,2652584,2717114,2706989,2798651,2805339,2930117,2945813,  Rehabilitation Services and Disability Research,3001840,2953533,3002913,3011270,3047197,3074574,3059298,3125544,3180414,3242512,  Rehabilitation Services and Disability Research,3184263,3276767.8,3218264,3387762,680000,3500735,3506861,3565326,3474718,  Rehabilitation Services and Disability Research,3541111,3511281,3517710,3435385,3655577,3442749,3683335,3466393,  Rehabilitation Services and Disability Research,3532109,3298965,3541389,3301089,3563008
  Adult Education,122600,90000,100000,84480,86400,0,95000,0,100000,  Adult Education,100000,101963,100000,97579,104000,112881,130000,134036,150000,162210,  Adult Education,172665,192795,238726,240777,260727,282260,303760,299808,310607,299808,  Adult Education,317441,273843,304302,254860,300000,349828,394000,355828,  Adult Education,394000,385000,575000,470000,555500,560500,556060,591060,  Adult Education,591060,587217,591032,590233,590233,585406,215734,579552,579552,579563,  Adult Education,579808,567468,574590,567468,0,641567,639567,653661,607443,  Adult Education,658346,606295,606295,574667,609295,577667,597667,582667,  Adult Education,588667,595667,606667,595667,499535
  Education Research and Statistics,84061,84061,74561,61978,61979,62392,64203,56978,56978,  Education Research and Statistics,62978,59978,59978,57399,70231,63578,70231,67526,84400,78201,  Education Research and Statistics,101330,95241,0,0,0,0,0,0,0,0,  Education Research and Statistics,0,0,0,0,0,0,0,0,  Education Research and Statistics,0,0,0,0,0,0,0,0,  Education Research and Statistics,0,0,0,0,0,0,0,0,0,0,  Education Research and Statistics,0,0,0,0,0,0,0,0,0,  Education Research and Statistics,0,0,0,0,0,0,0,0,  Education Research and Statistics,0,0,0,0,0
"  Research, Development, Dissemination and Regional Laboratories",0,0,0,0,0,0,0,0,0,"  Research, Development, Dissemination and Regional Laboratories",0,0,0,0,0,0,0,0,0,0,"  Research, Development, Dissemination and Regional Laboratories",0,0,61322,60805,95696,71000,115000,73984,90750,78000,"  Research, Development, Dissemination and Regional Laboratories",87450,86200,97600,107021,108000,123567,134535,128567,"  Research, Development, Dissemination and Regional Laboratories",178567,143567,198282,168567,198567,185567,188067,189317,"  Research, Development, Dissemination and Regional Laboratories",242500,206151,185000,232183,185000,230325,164194,228022,228022,228022,"  Research, Development, Dissemination and Regional Laboratories",227999,225265,234765,234765,0,294846,270846,330346,257331,"  Research, Development, Dissemination and Regional Laboratories",330063,247213,259699,234283,259699,234283,244696,234283,"  Research, Development, Dissemination and Regional Laboratories",256696,249423,263696,241923,248949
  Statistics,0,0,0,0,0,0,0,0,0,  Statistics,0,0,0,0,0,0,0,0,0,0,  Statistics,0,0,41538,41212,49378,47313,63600,48588,60000,48588,  Statistics,63150,48153,57000,46227,50000,50000,66250,59000,  Statistics,68000,68000,77500,68000,84000,80000,85000,85000,  Statistics,95000,89415,95000,91664,91664,90931,90931,90022,93022,90022,  Statistics,119022,88449,104593,98521,0,108521,108521,117021,108304,  Statistics,117021,108748,114748,103060,122748,103060,122748,103060,  Statistics,124744,112000,125360,109500,111787
  Assessment,0,0,0,0,0,0,0,0,0,  Assessment,0,0,0,0,0,0,0,0,0,0,  Assessment,0,0,18866,18411,36782,29900,64800,29262,65000,29262,  Assessment,38655,32752,38000,32623,32750,32617,38373,35471,  Assessment,40000,40000,44500,40000,42500,40000,109053,111553,  Assessment,95387,94767,95915,94763,94832,94073,116573,93132,97132,93149,  Assessment,116632,104053,138844,138844,0,138844,138844,143844,138567,  Assessment,143844,138306,132306,131071,132306,140235,132321,137235,  Assessment,157443,157235,156745,156745,156936
  Research and Innovation in Special Education,0,0,0,0,0,0,0,0,0,  Research and Innovation in Special Education,0,0,0,0,0,0,0,0,0,0,  Research and Innovation in Special Education,0,0,0,0,0,0,0,0,0,0,  Research and Innovation in Special Education,0,0,0,0,0,62803,0,64508,  Research and Innovation in Special Education,64508,64508,64508,64433,74433,77353,70000,78380,  Research and Innovation in Special Education,78380,76713,78380,78125,78125,83104,72566,71840,71840,71840,  Research and Innovation in Special Education,71829,70585,70585,70585,0,70585,71085,71085,50983,  Research and Innovation in Special Education,58085,49905,49905,47295,59905,54000,54000,54000,  Research and Innovation in Special Education,54000,54000,54000,54000,53897
  Program Administration/Administration of Credit Programs,225035,230087,229415,216624,218430,222000,222000,238382,232830,  Program Administration/Administration of Credit Programs,243505,241075,224157,216154,241192,234692,253138,241028,255449,250464,  Program Administration/Administration of Credit Programs,282446,273303,331000,319261,353300,335953,390740,376113,685404,676904,  Program Administration/Administration of Credit Programs,714029,702239,836026,793179,893852,867182,921900,923198,  Program Administration/Administration of Credit Programs,1027661,1031574,1169944,1166785,1232129,1231166,1254818,1252335,  Program Administration/Administration of Credit Programs,1344765,1310530,1382488,1333084,1365207,1334147,1359060,1130725,1160362,1139281,  Program Administration/Administration of Credit Programs,1155819,1107775,1159254,1187699,60000,1327717,457015,492488,455288,  Program Administration/Administration of Credit Programs,479038,1770411,1957548,1777557,1968949,1815808,1888924,1807924,  Program Administration/Administration of Credit Programs,2055943,1983854,2106817,2008854,2135711
  Office for Civil Rights,45847,46915,46915,45038,45038,44868,44868,42058,44396,  Office for Civil Rights,42633,45000,44181,42704,38185,43000,42676,40530,41341,41635,  Office for Civil Rights,45178,44572,49900,48404,56000,53625,61400,56402,56570,56570,  Office for Civil Rights,61457,58236,62784,55277,60000,54900,61500,61500,  Office for Civil Rights,68000,66000,73262,71200,76000,75822,79934,79666,  Office for Civil Rights,86276,84677,91275,88305,92801,89375,91526,90611,92866,91205,  Office for Civil Rights,93771,89612,101040,96826,0,103024,103024,105700,102818,  Office for Civil Rights,107772,102624,105318,98356,107500,98356,102000,100000,  Office for Civil Rights,130691,107000,137708,108500,106797
  Office of the Inspector General,10781,11464,11464,11005,11994,12840,12840,14395,14961,  Office of the Inspector General,15312,15312,15281,14654,16378,16378,18495,17560,17911,18619,  Office of the Inspector General,22000,23110,25800,24836,28521,26260,31700,29262,28840,28840,  Office of the Inspector General,31675,30390,34066,29003,30500,29943,32000,30242,  Office of the Inspector General,31242,31242,34000,34000,36500,36411,38720,38588,  Office of the Inspector General,41000,40734,48137,46624,50576,47327,49408,48510,53145,50266,  Office of the Inspector General,53239,50849,54539,54539,14000,60053,60053,65238,59933,  Office of the Inspector General,67187,59820,62401,57791,62347,57791,59181,57791,  Office of the Inspector General,59256,59256,61941,59256,61143
  Other,0,0,0,97,97,29,29,0,0,  Other,0,0,0,0,673,673,8,8,7,7,  Other,15,15,17,17,1,5001,1,4911,5166,5166,  Other,5346,5346,20138,11861,134,4857,406,17129,  Other,345,17068,12877,19877,12252,22252,22000,22485,  Other,155,23503,0,24853,0,51584,34800,57222,64452,34452,  Other,58780,57753,109460,74460,250000,76460,70006,93646,54525,  Other,128646,50665,64492,47416,96415,255104,293162,257579,  Other,240799,262079,216772,216772,216310
"  Total, Other",1420944,1406079,1416104,1280222,1376109,992129,1484287,1383540,1604265,"  Total, Other",1556088,1697343,1659997,1738251,1696059,1955960,1915671,2091088,2165543,2224356,"  Total, Other",2358795,2409248,2606242,2643011,2883785,2928470,3169264,3101029,3553365,3520074,"  Total, Other",3680661,3630511,3906853,3786143,3987823,4085125,4232340,4266638,"  Total, Other",4517589,4499543,4966987,4809851,5110532,5114410,5333769,5394197,"  Total, Other",5576363,5467240,5570140,5591104,5595635,5680846,5254090,5515180,5620807,5620312,"  Total, Other",5661162,5638576.8,5765934,5911469,1004000,6322352,5425822,5638355,5309910,"  Total, Other",5631113,6645268,6870422,6506881,7074741,6724630,7123611,6746509,"  Total, Other",7200348,6879479,7271095,6852306,7154073
             Discretionary,603460,551820,561845,508256,512972,412564,540358,439640,566465,             Discretionary,552188,597343,559997,593103,594671,674287,687521,711580,758446,774349,             Discretionary,847880,880735,1008945,1010369,880862,1140469,1329411,1211349,1353471,1285863,             Discretionary,1367430,1292556,1352229,1236019,1320651,1417953,1453046,1487344,             Discretionary,1601186,1577196,1892133,1734997,1940490,1944368,2072386,2132329,             Discretionary,3042716,2138593,2901488,2211942,2959790,2250001,2533898,2194988,2783647,2783152,             Discretionary,2787119,2764533.8,2791299,2936834,1004000,3237656,2341126,2553659,2225214,             Discretionary,2509401,3522383,3639450,3440176,3772688,3433434,3788537,3654895,             Discretionary,3808578,3718349,3872541,3688252,3701142
             Mandatory,817484,854259,854259,771966,863137,579565,943929,943900,1037800,             Mandatory,1003900,1100000,1100000,1145148,1101388,1281673,1228150,1379508,1407097,1450007,             Mandatory,1510915,1528513,1597297,1632642,2002923,1788001,1839853,1889680,2199894,2234211,             Mandatory,2313231,2337955,2554624,2550124,2667172,2667172,2779294,2779294,             Mandatory,2916403,2922347,3074854,3074854,3170042,3170042,3261383,3261868,             Mandatory,2533647,3328647,2668652,3379162,2635845,3430845,2720192,3320192,2837160,2837160,             Mandatory,2874043,2874043,2974635,2974635,0,3084696,3084696,3084696,3084696,             Mandatory,3121712,3122885,3230972,3066705,3302053,3291196,3335074,3091614,             Mandatory,3391770,3161130,3398554,3164054,3452931
"  Total, Department of Education",14011052,14054442,14724714,13160007,14651220,10542992,15271092,13319888,15340272,"  Total, Department of Education",16445659,18940331,16041899,17763257,15526094,19475602,15360356,20040895,22575123,22819224,"  Total, Department of Education",24947397,25345321,26904281,28164763,31314483,32169741,33082452,32462458,29064602,27054599,"  Total, Department of Education",33838467,32293918,33819915,30480952,32704587,33527573,40461197,35677788,"  Total, Department of Education",37387372,38313686,37524346,38447366,39918438,42061403,50782111,56177032,"  Total, Department of Education",60452981,63256811,64774136,67212116,72240069,71478441,69433078,100047663,64518953,67124090,"  Total, Department of Education",62609499,68574592,64882384,39880345,98238000,66203438,63009432,77787360,43901252,"  Total, Department of Education",68023391,40550403,54096961,39851541,53827787,55266372,82279336,88013545,"  Total, Department of Education",73837292,77079502,79475529,115366675,64935475
"    Total, Discretionary",11584965,10665100,11335372,9286064,10686106,6870487,11227062,10115865,12042349,"    Total, Discretionary",11639560,14038145,11717715,13394232,11761621,15530844,11647865,16169898,16937313,17138504,"    Total, Discretionary",18294532,18674958,19958802,21183939,21799770,22869950,24520577,23850756,27485354,25441034,"    Total, Discretionary",26281483,24712210,26377618,23036007,25829471,26645309,29686237,29902828,"    Total, Discretionary",32600895,33521265,34684893,35606067,40087856,42230821,44541163,49935599,"    Total, Discretionary",50309879,53113709,53139203,55661673,57339052,56577424,56047848,57853155,54410271,57483258,"    Total, Discretionary",55996794,59181467,59210061,63524352,96764000,46686324,64144856,49700290,68345322,"    Total, Discretionary",77400391,68112288,68833098,65704706,71209062,67301715,68587781,67135576,"    Total, Discretionary",70747119,68306763,69388269,68239195,62889424
"    Total, Mandatory",2426087,3389342,3389342,3873943,3965114,3672505,4044030,3204023,3297923,"    Total, Mandatory",4806099,4902186,4324184,4369025,3764473,3944758,3712491,3870997,5637810,5680720,"    Total, Mandatory",6652865,6670363,6945479,6980824,9514713,9299791,8561875,8611702,2311248,2345565,"    Total, Mandatory",7556984,7581708,7442297,7444945,6875116,6882264,10774960,5774960,"    Total, Mandatory",4786477,4792421,2839453,2841299,-169418,-169418,6240948,6241433,"    Total, Mandatory",10143102,10143102,11634933,11550443,14901017,14901017,13385230,42194508,10108682,9640832,"    Total, Mandatory",6612705,9393125,5672323,-23644007,1474000,19517114,-1135424,28087070,-24444070,"    Total, Mandatory",-9377000,-27561885,-14736137,-25853165,-17381275,-12035343,13691546,20877969,"    Total, Mandatory",3090173,8772739,10087260,47127480,2046051
